Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\UV_VIS_3.CHL\22666.acd
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	dbco593_4
Sample Number	75
Sample Position	RC3
Sample ID	22666
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:48:23 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Raw Data Header Information:
Time Min. (min)	0.000
Time Max. (min)	3.000
Raw-Time Min. (min)	0.000
Raw-Time Max. (min)	3.000
Data Points	1801
Detector	DAD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3984
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	9e7c585c-4bf2-11ee-9d37-bcee7b8beccc
Signal Factor	0.000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-6.10154
Signal Max.	361.246830
Channel Name	UV_VIS_3
Driver Name	DAD-3000(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:280 nm
Wavelength	280.0 nm
Bandwidth	4 nm
RefWavelength	0.0 nm
RefBandwidth	1 nm
	 

















Raw Data:
Time(min)	Step(sec)	Value(mAU)
1.100167	0.10	-3.355600	
1.101833	0.10	-3.347430	
1.103500	0.10	-3.340580	
1.105167	0.10	-3.333860	
1.106833	0.10	-3.327090	
1.108500	0.10	-3.321140	
1.110167	0.10	-3.316860	
1.111833	0.10	-3.313710	
1.113500	0.10	-3.309810	
1.115167	0.10	-3.303330	
1.116833	0.10	-3.293960	
1.118500	0.10	-3.283470	
1.120167	0.10	-3.274390	
1.121833	0.10	-3.267990	
1.123500	0.10	-3.263990	
1.125167	0.10	-3.261340	
1.126833	0.10	-3.258880	
1.128500	0.10	-3.255710	
1.130167	0.10	-3.251300	
1.131833	0.10	-3.245440	
1.133500	0.10	-3.238390	
1.135167	0.10	-3.230290	
1.136833	0.10	-3.220370	
1.138500	0.10	-3.208000	
1.140167	0.10	-3.193930	
1.141833	0.10	-3.179460	
1.143500	0.10	-3.165520	
1.145167	0.10	-3.152690	
1.146833	0.10	-3.140830	
1.148500	0.10	-3.129290	
1.150167	0.10	-3.118110	
1.151833	0.10	-3.107710	
1.153500	0.10	-3.097730	
1.155167	0.10	-3.087550	
1.156833	0.10	-3.076910	
1.158500	0.10	-3.065570	
1.160167	0.10	-3.053180	
1.161833	0.10	-3.039970	
1.163500	0.10	-3.026770	
1.165167	0.10	-3.014060	
1.166833	0.10	-3.001580	
1.168500	0.10	-2.989040	
1.170167	0.10	-2.976890	
1.171833	0.10	-2.966170	
1.173500	0.10	-2.957850	
1.175167	0.10	-2.952220	
1.176833	0.10	-2.948630	
1.178500	0.10	-2.945460	
1.180167	0.10	-2.940660	
1.181833	0.10	-2.932880	
1.183500	0.10	-2.922030	
1.185167	0.10	-2.908380	
1.186833	0.10	-2.891670	
1.188500	0.10	-2.871660	
1.190167	0.10	-2.849070	
1.191833	0.10	-2.825910	
1.193500	0.10	-2.804720	
1.195167	0.10	-2.787230	
1.196833	0.10	-2.773850	
1.198500	0.10	-2.763810	
1.200167	0.10	-2.755330	
1.201833	0.10	-2.746290	
1.203500	0.10	-2.734970	
1.205167	0.10	-2.720280	
1.206833	0.10	-2.702000	
1.208500	0.10	-2.681460	
1.210167	0.10	-2.661250	
1.211833	0.10	-2.643040	
1.213500	0.10	-2.626570	
1.215167	0.10	-2.611290	
1.216833	0.10	-2.597370	
1.218500	0.10	-2.584500	
1.220167	0.10	-2.571210	
1.221833	0.10	-2.556260	
1.223500	0.10	-2.539890	
1.225167	0.10	-2.523630	
1.226833	0.10	-2.508500	
1.228500	0.10	-2.493880	
1.230167	0.10	-2.478490	
1.231833	0.10	-2.462110	
1.233500	0.10	-2.445540	
1.235167	0.10	-2.428990	
1.236833	0.10	-2.411530	
1.238500	0.10	-2.392500	
1.240167	0.10	-2.372450	
1.241833	0.10	-2.352600	
1.243500	0.10	-2.333720	
1.245167	0.10	-2.315180	
1.246833	0.10	-2.295470	
1.248500	0.10	-2.273900	
1.250167	0.10	-2.251470	
1.251833	0.10	-2.229700	
1.253500	0.10	-2.209280	
1.255167	0.10	-2.190360	
1.256833	0.10	-2.173160	
1.258500	0.10	-2.157190	
1.260167	0.10	-2.140920	
1.261833	0.10	-2.123540	
1.263500	0.10	-2.106460	
1.265167	0.10	-2.091290	
1.266833	0.10	-2.076840	
1.268500	0.10	-2.059880	
1.270167	0.10	-2.038750	
1.271833	0.10	-2.014400	
1.273500	0.10	-1.988210	
1.275167	0.10	-1.960400	
1.276833	0.10	-1.930730	
1.278500	0.10	-1.899710	
1.280167	0.10	-1.868420	
1.281833	0.10	-1.837350	
1.283500	0.10	-1.806030	
1.285167	0.10	-1.773250	
1.286833	0.10	-1.737750	
1.288500	0.10	-1.699220	
1.290167	0.10	-1.658470	
1.291833	0.10	-1.617290	
1.293500	0.10	-1.578240	
1.295167	0.10	-1.543810	
1.296833	0.10	-1.515000	
1.298500	0.10	-1.490820	
1.300167	0.10	-1.468760	
1.301833	0.10	-1.445740	
1.303500	0.10	-1.419840	
1.305167	0.10	-1.391360	
1.306833	0.10	-1.361220	
1.308500	0.10	-1.328840	
1.310167	0.10	-1.292720	
1.311833	0.10	-1.252020	
1.313500	0.10	-1.206730	
1.315167	0.10	-1.157220	
1.316833	0.10	-1.103700	
1.318500	0.10	-1.045660	
1.320167	0.10	-0.982050	
1.321833	0.10	-0.912940	
1.323500	0.10	-0.840750	
1.325167	0.10	-0.768940	
1.326833	0.10	-0.698290	
1.328500	0.10	-0.624760	
1.330167	0.10	-0.541850	
1.331833	0.10	-0.444430	
1.333500	0.10	-0.329810	
1.335167	0.10	-0.196450	
1.336833	0.10	-0.043570	
1.338500	0.10	0.127390	
1.340167	0.10	0.311530	
1.341833	0.10	0.501040	
1.343500	0.10	0.687110	
1.345167	0.10	0.861400	
1.346833	0.10	1.015790	
1.348500	0.10	1.142770	
1.350167	0.10	1.237610	
1.351833	0.10	1.300090	
1.353500	0.10	1.334150	
1.355167	0.10	1.346140	
1.356833	0.10	1.343150	
1.358500	0.10	1.331880	
1.360167	0.10	1.318070	
1.361833	0.10	1.306560	
1.363500	0.10	1.302050	
1.365167	0.10	1.309200	
1.366833	0.10	1.331240	
1.368500	0.10	1.368250	
1.370167	0.10	1.418130	
1.371833	0.10	1.479420	
1.373500	0.10	1.552760	
1.375167	0.10	1.640100	
1.376833	0.10	1.743500	
1.378500	0.10	1.864120	
1.380167	0.10	2.001610	
1.381833	0.10	2.154320	
1.383500	0.10	2.320610	
1.385167	0.10	2.501660	
1.386833	0.10	2.705730	
1.388500	0.10	2.954480	
1.390167	0.10	3.291670	
1.391833	0.10	3.791290	
1.393500	0.10	4.556570	
1.395167	0.10	5.705090	
1.396833	0.10	7.344200	
1.398500	0.10	9.544440	
1.400167	0.10	12.317570	
1.401833	0.10	15.604130	
1.403500	0.10	19.273590	
1.405167	0.10	23.136330	
1.406833	0.10	26.962670	
1.408500	0.10	30.504670	
1.410167	0.10	33.520260	
1.411833	0.10	35.799870	
1.413500	0.10	37.192930	
1.415167	0.10	37.628100	
1.416833	0.10	37.122410	
1.418500	0.10	35.777530	
1.420167	0.10	33.762330	
1.421833	0.10	31.285640	
1.423500	0.10	28.565080	
1.425167	0.10	25.798180	
1.426833	0.10	23.142230	
1.428500	0.10	20.705540	
1.430167	0.10	18.547620	
1.431833	0.10	16.686250	
1.433500	0.10	15.109710	
1.435167	0.10	13.789650	
1.436833	0.10	12.691040	
1.438500	0.10	11.778070	
1.440167	0.10	11.017080	
1.441833	0.10	10.378430	
1.443500	0.10	9.837750	
1.445167	0.10	9.376120	
1.446833	0.10	8.979120	
1.448500	0.10	8.635650	
1.450167	0.10	8.337030	
1.451833	0.10	8.076760	
1.453500	0.10	7.850150	
1.455167	0.10	7.653620	
1.456833	0.10	7.484240	
1.458500	0.10	7.338960	
1.460167	0.10	7.214090	
1.461833	0.10	7.106180	
1.463500	0.10	7.013280	
1.465167	0.10	6.934820	
1.466833	0.10	6.870430	
1.468500	0.10	6.819350	
1.470167	0.10	6.780930	
1.471833	0.10	6.755270	
1.473500	0.10	6.742950	
1.475167	0.10	6.743770	
1.476833	0.10	6.755370	
1.478500	0.10	6.773330	
1.480167	0.10	6.793590	
1.481833	0.10	6.815020	
1.483500	0.10	6.839330	
1.485167	0.10	6.868560	
1.486833	0.10	6.903210	
1.488500	0.10	6.943370	
1.490167	0.10	6.990370	
1.491833	0.10	7.045510	
1.493500	0.10	7.108090	
1.495167	0.10	7.175920	
1.496833	0.10	7.247260	
1.498500	0.10	7.321640	
1.500167	0.10	7.399290	
1.501833	0.10	7.481090	
1.503500	0.10	7.568320	
1.505167	0.10	7.661640	
1.506833	0.10	7.760900	
1.508500	0.10	7.866380	
1.510167	0.10	7.979420	
1.511833	0.10	8.101740	
1.513500	0.10	8.234690	
1.515167	0.10	8.379140	
1.516833	0.10	8.535590	
1.518500	0.10	8.703960	
1.520167	0.10	8.882470	
1.521833	0.10	9.066760	
1.523500	0.10	9.251350	
1.525167	0.10	9.432450	
1.526833	0.10	9.608740	
1.528500	0.10	9.780170	
1.530167	0.10	9.946920	
1.531833	0.10	10.108810	
1.533500	0.10	10.265330	
1.535167	0.10	10.415940	
1.536833	0.10	10.560650	
1.538500	0.10	10.700580	
1.540167	0.10	10.837650	
1.541833	0.10	10.973250	
1.543500	0.10	11.107740	
1.545167	0.10	11.241510	
1.546833	0.10	11.375490	
1.548500	0.10	11.510690	
1.550167	0.10	11.647930	
1.551833	0.10	11.788570	
1.553500	0.10	11.935430	
1.555167	0.10	12.092500	
1.556833	0.10	12.263230	
1.558500	0.10	12.448860	
1.560167	0.10	12.648120	
1.561833	0.10	12.857990	
1.563500	0.10	13.075580	
1.565167	0.10	13.300090	
1.566833	0.10	13.533170	
1.568500	0.10	13.777380	
1.570167	0.10	14.034560	
1.571833	0.10	14.305820	
1.573500	0.10	14.593320	
1.575167	0.10	14.902960	
1.576833	0.10	15.244980	
1.578500	0.10	15.631270	
1.580167	0.10	16.072370	
1.581833	0.10	16.577030	
1.583500	0.10	17.151740	
1.585167	0.10	17.797910	
1.586833	0.10	18.509150	
1.588500	0.10	19.270810	
1.590167	0.10	20.061970	
1.591833	0.10	20.858890	
1.593500	0.10	21.638400	
1.595167	0.10	22.379650	
1.596833	0.10	23.064820	
1.598500	0.10	23.679780	
1.600167	0.10	24.215920	
1.601833	0.10	24.672940	
1.603500	0.10	25.060980	
1.605167	0.10	25.400820	
1.606833	0.10	25.722860	
1.608500	0.10	26.064230	
1.610167	0.10	26.463120	
1.611833	0.10	26.951030	
1.613500	0.10	27.546860	
1.615167	0.10	28.255860	
1.616833	0.10	29.071220	
1.618500	0.10	29.973950	
1.620167	0.10	30.933120	
1.621833	0.10	31.909780	
1.623500	0.10	32.863670	
1.625167	0.10	33.759160	
1.626833	0.10	34.569410	
1.628500	0.10	35.279030	
1.630167	0.10	35.884060	
1.631833	0.10	36.390080	
1.633500	0.10	36.811030	
1.635167	0.10	37.168680	
1.636833	0.10	37.491160	
1.638500	0.10	37.810510	
1.640167	0.10	38.160000	
1.641833	0.10	38.570860	
1.643500	0.10	39.068940	
1.645167	0.10	39.672290	
1.646833	0.10	40.390560	
1.648500	0.10	41.225300	
1.650167	0.10	42.170610	
1.651833	0.10	43.215110	
1.653500	0.10	44.346070	
1.655167	0.10	45.554590	
1.656833	0.10	46.840040	
1.658500	0.10	48.212420	
1.660167	0.10	49.690410	
1.661833	0.10	51.294490	
1.663500	0.10	53.038820	
1.665167	0.10	54.925330	
1.666833	0.10	56.940360	
1.668500	0.10	59.053270	
1.670167	0.10	61.218730	
1.671833	0.10	63.383120	
1.673500	0.10	65.491370	
1.675167	0.10	67.491380	
1.676833	0.10	69.337540	
1.678500	0.10	70.995840	
1.680167	0.10	72.448820	
1.681833	0.10	73.698250	
1.683500	0.10	74.764890	
1.685167	0.10	75.685010	
1.686833	0.10	76.505380	
1.688500	0.10	77.276860	
1.690167	0.10	78.046040	
1.691833	0.10	78.846990	
1.693500	0.10	79.698250	
1.695167	0.10	80.605660	
1.696833	0.10	81.565410	
1.698500	0.10	82.565520	
1.700167	0.10	83.588270	
1.701833	0.10	84.614140	
1.703500	0.10	85.625200	
1.705167	0.10	86.607180	
1.706833	0.10	87.551680	
1.708500	0.10	88.460120	
1.710167	0.10	89.347160	
1.711833	0.10	90.240640	
1.713500	0.10	91.178970	
1.715167	0.10	92.207930	
1.716833	0.10	93.378020	
1.718500	0.10	94.746580	
1.720167	0.10	96.392730	
1.721833	0.10	98.448080	
1.723500	0.10	101.133130	
1.725167	0.10	104.780650	
1.726833	0.10	109.830090	
1.728500	0.10	116.785340	
1.730167	0.10	126.137730	
1.731833	0.10	138.269650	
1.733500	0.10	153.366790	
1.735167	0.10	171.367450	
1.736833	0.10	191.958030	
1.738500	0.10	214.598180	
1.740167	0.10	238.551380	
1.741833	0.10	262.914640	
1.743500	0.10	286.658600	
1.745167	0.10	308.690730	
1.746833	0.10	327.941850	
1.748500	0.10	343.457830	
1.750167	0.10	354.476790	
1.751833	0.10	360.484350	
1.753500	0.10	361.246830	
1.755167	0.10	356.823110	
1.756833	0.10	347.554710	
1.758500	0.10	334.031240	
1.760167	0.10	317.030490	
1.761833	0.10	297.439380	
1.763500	0.10	276.167980	
1.765167	0.10	254.072240	
1.766833	0.10	231.898740	
1.768500	0.10	210.253980	
1.770167	0.10	189.593700	
1.771833	0.10	170.228950	
1.773500	0.10	152.345290	
1.775167	0.10	136.028640	
1.776833	0.10	121.290450	
1.778500	0.10	108.088410	
1.780167	0.10	96.342910	
1.781833	0.10	85.950640	
1.783500	0.10	76.795540	
1.785167	0.10	68.756660	
1.786833	0.10	61.712790	
1.788500	0.10	55.545550	
1.790167	0.10	50.143160	
1.791833	0.10	45.403980	
1.793500	0.10	41.237320	
1.795167	0.10	37.563160	
1.796833	0.10	34.312730	
1.798500	0.10	31.428620	
1.800167	0.10	28.862590	
1.801833	0.10	26.572440	
1.803500	0.10	24.520430	
1.805167	0.10	22.674070	
1.806833	0.10	21.007520	
1.808500	0.10	19.500950	
1.810167	0.10	18.138110	
1.811833	0.10	16.904330	
1.813500	0.10	15.786740	
1.815167	0.10	14.775240	
1.816833	0.10	13.862250	
1.818500	0.10	13.040990	
1.820167	0.10	12.304130	
1.821833	0.10	11.644270	
1.823500	0.10	11.055760	
1.825167	0.10	10.535300	
1.826833	0.10	10.080330	
1.828500	0.10	9.687370	
1.830167	0.10	9.351320	
1.831833	0.10	9.065040	
1.833500	0.10	8.819310	
1.835167	0.10	8.604770	
1.836833	0.10	8.414310	
1.838500	0.10	8.243130	
1.840167	0.10	8.087550	
1.841833	0.10	7.944430	
1.843500	0.10	7.810350	
1.845167	0.10	7.680510	
1.846833	0.10	7.549640	
1.848500	0.10	7.414470	
1.850167	0.10	7.274260	
1.851833	0.10	7.129130	
1.853500	0.10	6.979120	
1.855167	0.10	6.824570	
1.856833	0.10	6.666820	
1.858500	0.10	6.509050	
1.860167	0.10	6.355670	
1.861833	0.10	6.210530	
1.863500	0.10	6.075730	
1.865167	0.10	5.951230	
1.866833	0.10	5.835400	
1.868500	0.10	5.726790	
1.870167	0.10	5.625530	
1.871833	0.10	5.532540	
1.873500	0.10	5.448100	
1.875167	0.10	5.371780	
1.876833	0.10	5.303730	
1.878500	0.10	5.245030	
1.880167	0.10	5.196530	
1.881833	0.10	5.158380	
1.883500	0.10	5.130330	
1.885167	0.10	5.111610	
1.886833	0.10	5.101040	
1.888500	0.10	5.097620	
1.890167	0.10	5.099870	
1.891833	0.10	5.105140	
1.893500	0.10	5.110270	
1.895167	0.10	5.113000	
1.896833	0.10	5.113030	
1.898500	0.10	5.112460	
1.900167	0.10	5.114630	
1.901833	0.10	5.121480	
1.903500	0.10	5.132410	
1.905167	0.10	5.146250	
1.906833	0.10	5.163250	
1.908500	0.10	5.184710	
1.910167	0.10	5.211930	
1.911833	0.10	5.246400	
1.913500	0.10	5.290540	
1.915167	0.10	5.346780	
1.916833	0.10	5.415530	
1.918500	0.10	5.495130	
1.920167	0.10	5.583900	
1.921833	0.10	5.681120	
1.923500	0.10	5.786070	
1.925167	0.10	5.897010	
1.926833	0.10	6.011870	
1.928500	0.10	6.128780	
1.930167	0.10	6.245280	
1.931833	0.10	6.357880	
1.933500	0.10	6.462520	
1.935167	0.10	6.555060	
1.936833	0.10	6.631850	
1.938500	0.10	6.690210	
1.940167	0.10	6.729050	
1.941833	0.10	6.749450	
1.943500	0.10	6.754270	
1.945167	0.10	6.747710	
1.946833	0.10	6.734020	
1.948500	0.10	6.715030	
1.950167	0.10	6.689260	
1.951833	0.10	6.654420	
1.953500	0.10	6.609990	
1.955167	0.10	6.557240	
1.956833	0.10	6.497580	
1.958500	0.10	6.432110	
1.960167	0.10	6.362690	
1.961833	0.10	6.292230	
1.963500	0.10	6.223080	
1.965167	0.10	6.155760	
1.966833	0.10	6.089510	
1.968500	0.10	6.022730	
1.970167	0.10	5.953250	
1.971833	0.10	5.879270	
1.973500	0.10	5.800000	
1.975167	0.10	5.715200	
1.976833	0.10	5.624780	
1.978500	0.10	5.528610	
1.980167	0.10	5.426160	
1.981833	0.10	5.316710	
1.983500	0.10	5.200350	
1.985167	0.10	5.077980	
1.986833	0.10	4.950860	
1.988500	0.10	4.820090	
1.990167	0.10	4.686930	
1.991833	0.10	4.553330	
1.993500	0.10	4.421800	
1.995167	0.10	4.294280	
1.996833	0.10	4.170870	
1.998500	0.10	4.049800	
2.000167	0.10	3.929450	
2.001833	0.10	3.809470	
2.003500	0.10	3.689930	
2.005167	0.10	3.570700	
2.006833	0.10	3.451660	
2.008500	0.10	3.333170	
2.010167	0.10	3.216660	
2.011833	0.10	3.104810	
2.013500	0.10	3.000860	
2.015167	0.10	2.906910	
2.016833	0.10	2.823110	
2.018500	0.10	2.748660	
2.020167	0.10	2.682820	
2.021833	0.10	2.625260	
2.023500	0.10	2.575840	
2.025167	0.10	2.533920	
2.026833	0.10	2.498010	
2.028500	0.10	2.466240	
2.030167	0.10	2.436810	
2.031833	0.10	2.408370	
2.033500	0.10	2.380460	
2.035167	0.10	2.353780	
2.036833	0.10	2.330090	
2.038500	0.10	2.311070	
2.040167	0.10	2.296510	
2.041833	0.10	2.284130	
2.043500	0.10	2.271530	
2.045167	0.10	2.258060	
2.046833	0.10	2.244320	
2.048500	0.10	2.230600	
2.050167	0.10	2.216460	
2.051833	0.10	2.201670	
2.053500	0.10	2.186220	
2.055167	0.10	2.169570	
2.056833	0.10	2.151130	
2.058500	0.10	2.131480	
2.060167	0.10	2.112870	
2.061833	0.10	2.097910	
2.063500	0.10	2.087200	
2.065167	0.10	2.078770	
2.066833	0.10	2.070080	
2.068500	0.10	2.059960	
2.070167	0.10	2.049230	
2.071833	0.10	2.039670	
2.073500	0.10	2.032020	
2.075167	0.10	2.025230	
2.076833	0.10	2.017820	
2.078500	0.10	2.009240	
2.080167	0.10	1.999820	
2.081833	0.10	1.990570	
2.083500	0.10	1.982740	
2.085167	0.10	1.977300	
2.086833	0.10	1.974380	
2.088500	0.10	1.972720	
2.090167	0.10	1.970120	
2.091833	0.10	1.965560	
2.093500	0.10	1.960040	
2.095167	0.10	1.955300	
2.096833	0.10	1.951970	
2.098500	0.10	1.949450	
2.100167	0.10	1.946690	
2.101833	0.10	1.942920	
2.103500	0.10	1.938050	
2.105167	0.10	1.932130	
2.106833	0.10	1.924860	
2.108500	0.10	1.916400	
2.110167	0.10	1.908050	
2.111833	0.10	1.900870	
2.113500	0.10	1.894620	
2.115167	0.10	1.888330	
2.116833	0.10	1.881240	
2.118500	0.10	1.873660	
2.120167	0.10	1.867280	
2.121833	0.10	1.864380	
2.123500	0.10	1.866430	
2.125167	0.10	1.872990	
2.126833	0.10	1.881610	
2.128500	0.10	1.888970	
2.130167	0.10	1.892720	
2.131833	0.10	1.892710	
2.133500	0.10	1.890530	
2.135167	0.10	1.888090	
2.136833	0.10	1.887090	
2.138500	0.10	1.888690	
2.140167	0.10	1.892480	
2.141833	0.10	1.896310	
2.143500	0.10	1.898070	
2.145167	0.10	1.897370	
2.146833	0.10	1.895260	
2.148500	0.10	1.893050	
2.150167	0.10	1.891710	
2.151833	0.10	1.891510	
2.153500	0.10	1.892040	
2.155167	0.10	1.892540	
2.156833	0.10	1.892240	
2.158500	0.10	1.890890	
2.160167	0.10	1.889680	
2.161833	0.10	1.890430	
2.163500	0.10	1.893580	
2.165167	0.10	1.898070	
2.166833	0.10	1.903060	
2.168500	0.10	1.908370	
2.170167	0.10	1.913070	
2.171833	0.10	1.915450	
2.173500	0.10	1.915090	
2.175167	0.10	1.913650	
2.176833	0.10	1.913330	
2.178500	0.10	1.915130	
2.180167	0.10	1.918500	
2.181833	0.10	1.922130	
2.183500	0.10	1.924660	
2.185167	0.10	1.925130	
2.186833	0.10	1.923470	
2.188500	0.10	1.920370	
2.190167	0.10	1.916650	
2.191833	0.10	1.912950	
2.193500	0.10	1.909960	
2.195167	0.10	1.908060	
2.196833	0.10	1.907050	
2.198500	0.10	1.907100	
2.200167	0.10	1.908970	
2.201833	0.10	1.912530	
2.203500	0.10	1.916350	
2.205167	0.10	1.919190	
2.206833	0.10	1.921190	
2.208500	0.10	1.922920	
2.210167	0.10	1.924180	
2.211833	0.10	1.924390	
2.213500	0.10	1.923240	
2.215167	0.10	1.920930	
2.216833	0.10	1.918570	
2.218500	0.10	1.917640	
2.220167	0.10	1.918910	
2.221833	0.10	1.921850	
2.223500	0.10	1.924840	
2.225167	0.10	1.926030	
2.226833	0.10	1.924360	
2.228500	0.10	1.920200	
2.230167	0.10	1.915330	
2.231833	0.10	1.912200	
2.233500	0.10	1.912450	
2.235167	0.10	1.915860	
2.236833	0.10	1.921090	
2.238500	0.10	1.927090	
2.240167	0.10	1.933480	
2.241833	0.10	1.939950	
2.243500	0.10	1.945820	
2.245167	0.10	1.950660	
2.246833	0.10	1.954700	
2.248500	0.10	1.958490	
2.250167	0.10	1.962020	
2.251833	0.10	1.964970	
2.253500	0.10	1.967320	
2.255167	0.10	1.969520	
2.256833	0.10	1.971760	
2.258500	0.10	1.973690	
2.260167	0.10	1.974780	
2.261833	0.10	1.974850	
2.263500	0.10	1.974530	
2.265167	0.10	1.974950	
2.266833	0.10	1.976800	
2.268500	0.10	1.979770	
2.270167	0.10	1.982940	
2.271833	0.10	1.985740	
2.273500	0.10	1.988690	
2.275167	0.10	1.992600	
2.276833	0.10	1.997400	
2.278500	0.10	2.001730	
2.280167	0.10	2.004030	
2.281833	0.10	2.003960	
2.283500	0.10	2.002280	
2.285167	0.10	1.999280	
2.286833	0.10	1.994810	
2.288500	0.10	1.989710	
2.290167	0.10	1.985820	
2.291833	0.10	1.984370	
2.293500	0.10	1.985530	
2.295167	0.10	1.988850	
2.296833	0.10	1.993470	
2.298500	0.10	1.998400	
2.300167	0.10	2.002440	
2.301833	0.10	2.004530	
2.303500	0.10	2.004540	
2.305167	0.10	2.003130	
2.306833	0.10	2.001290	
2.308500	0.10	2.000340	
2.310167	0.10	2.001230	
2.311833	0.10	2.004060	
2.313500	0.10	2.008540	
2.315167	0.10	2.014350	
2.316833	0.10	2.020750	
2.318500	0.10	2.026350	
2.320167	0.10	2.029790	
2.321833	0.10	2.030840	
2.323500	0.10	2.030390	
2.325167	0.10	2.029530	
2.326833	0.10	2.029100	
2.328500	0.10	2.029490	
2.330167	0.10	2.030720	
2.331833	0.10	2.032380	
2.333500	0.10	2.033550	
2.335167	0.10	2.033250	
2.336833	0.10	2.031320	
2.338500	0.10	2.028650	
2.340167	0.10	2.026620	
2.341833	0.10	2.026730	
2.343500	0.10	2.030200	
2.345167	0.10	2.036650	
2.346833	0.10	2.043850	
2.348500	0.10	2.049410	
2.350167	0.10	2.052670	
2.351833	0.10	2.055150	
2.353500	0.10	2.059210	
2.355167	0.10	2.066090	
2.356833	0.10	2.074950	
2.358500	0.10	2.083450	
2.360167	0.10	2.089510	
2.361833	0.10	2.092440	
2.363500	0.10	2.092950	
2.365167	0.10	2.092500	
2.366833	0.10	2.092530	
2.368500	0.10	2.093690	
2.370167	0.10	2.095700	
2.371833	0.10	2.098020	
2.373500	0.10	2.100330	
2.375167	0.10	2.102370	
2.376833	0.10	2.103870	
2.378500	0.10	2.104700	
2.380167	0.10	2.104800	
2.381833	0.10	2.104500	
2.383500	0.10	2.104790	
2.385167	0.10	2.106860	
2.386833	0.10	2.111430	
2.388500	0.10	2.118390	
2.390167	0.10	2.127010	
2.391833	0.10	2.137050	
2.393500	0.10	2.149230	
2.395167	0.10	2.164120	
2.396833	0.10	2.181370	
2.398500	0.10	2.200210	
2.400167	0.10	2.220510	
2.401833	0.10	2.244010	
2.403500	0.10	2.274200	
2.405167	0.10	2.314810	
2.406833	0.10	2.369380	
2.408500	0.10	2.442660	
2.410167	0.10	2.541630	
2.411833	0.10	2.673950	
2.413500	0.10	2.844360	
2.415167	0.10	3.052240	
2.416833	0.10	3.291810	
2.418500	0.10	3.554090	
2.420167	0.10	3.828570	
2.421833	0.10	4.103380	
2.423500	0.10	4.366300	
2.425167	0.10	4.606260	
2.426833	0.10	4.813690	
2.428500	0.10	4.980090	
2.430167	0.10	5.099100	
2.431833	0.10	5.167970	
2.433500	0.10	5.186820	
2.435167	0.10	5.156600	
2.436833	0.10	5.078440	
2.438500	0.10	4.954460	
2.440167	0.10	4.788590	
2.441833	0.10	4.587170	
2.443500	0.10	4.359010	
2.445167	0.10	4.114560	
2.446833	0.10	3.864340	
2.448500	0.10	3.617300	
2.450167	0.10	3.379830	
2.451833	0.10	3.156390	
2.453500	0.10	2.951040	
2.455167	0.10	2.767430	
2.456833	0.10	2.607230	
2.458500	0.10	2.470050	
2.460167	0.10	2.354830	
2.461833	0.10	2.260100	
2.463500	0.10	2.182800	
2.465167	0.10	2.118700	
2.466833	0.10	2.064220	
2.468500	0.10	2.017500	
2.470167	0.10	1.978220	
2.471833	0.10	1.946870	
2.473500	0.10	1.923940	
2.475167	0.10	1.909630	
2.476833	0.10	1.904980	
2.478500	0.10	1.913010	
2.480167	0.10	1.937470	
2.481833	0.10	1.980130	
2.483500	0.10	2.040100	
2.485167	0.10	2.115490	
2.486833	0.10	2.205130	
2.488500	0.10	2.308850	
2.490167	0.10	2.426280	
2.491833	0.10	2.555320	
2.493500	0.10	2.691570	
2.495167	0.10	2.828810	
2.496833	0.10	2.960280	
2.498500	0.10	3.079460	
2.500167	0.10	3.180580	
2.501833	0.10	3.259400	
2.503500	0.10	3.313970	
2.505167	0.10	3.344080	
2.506833	0.10	3.350270	
2.508500	0.10	3.333590	
2.510167	0.10	3.295080	
2.511833	0.10	3.234590	
2.513500	0.10	3.151280	
2.515167	0.10	3.045760	
2.516833	0.10	2.921400	
2.518500	0.10	2.784120	
2.520167	0.10	2.641560	
2.521833	0.10	2.501640	
2.523500	0.10	2.370880	
2.525167	0.10	2.252930	
2.526833	0.10	2.148320	
2.528500	0.10	2.055760	
2.530167	0.10	1.973800	
2.531833	0.10	1.901820	
2.533500	0.10	1.840370	
2.535167	0.10	1.790540	
2.536833	0.10	1.753000	
2.538500	0.10	1.727560	
2.540167	0.10	1.712930	
2.541833	0.10	1.705690	
2.543500	0.10	1.700430	
2.545167	0.10	1.692420	
2.546833	0.10	1.680260	
2.548500	0.10	1.666140	
2.550167	0.10	1.654070	
2.551833	0.10	1.646990	
2.553500	0.10	1.645010	
2.555167	0.10	1.645930	
2.556833	0.10	1.647240	
2.558500	0.10	1.647560	
