Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\XRAW.CHL\4551.raw
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	dbco488_4
Sample Number	76
Sample Position	RC4
Sample ID	4551
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:53:21 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Mass Spectrum Header Information:
Detector Name:	MS
Actual Filter:	{0,0}  + c ESI !corona sid=60.00  det=1365.00 Full ms [500.00-2000.00]
Spectrum Type:	Centroid Spectrum
Data points:	679
Minimum Mass (m/z):	500.000000
Maximum Mass (m/z):	2000.000050
Mass Resolution (m/z):	0.500000
Base Mass (m/z):	792.482849
Base Intensity (counts):	28582
TIC (counts):	215432
Retention Time (min):	1.60 [corrected by 0.05]
Scan:	95
Bkg1 RT (min):	1.38 [corrected by 0.05]
Bkg1 Scan:	82
Bkg2 RT (min):	1.74 [corrected by 0.05]
Bkg2 Scan:	103




Raw Data:
Mass (m/z)	Intensity (counts)	Rel. Intensity (%)
891.997070	75	0.26
894.604736	355	1.24
895.373352	41	0.14
896.150635	0	0.00
896.757202	129	0.45
897.667114	32	0.11
898.119080	103	0.36
898.811584	66	0.23
901.842896	18	0.06
902.690247	240	0.84
903.847839	212	0.74
905.860046	989	3.46
907.008728	528	1.85
907.896179	51	0.18
908.646973	51	0.18
909.472046	242	0.85
910.536316	284	0.99
911.687134	487	1.71
912.314087	133	0.47
913.491150	136	0.48
915.466858	257	0.90
916.927063	66	0.23
917.955017	67	0.23
920.166077	57	0.20
921.946777	84	0.29
922.452087	52	0.18
922.756470	68	0.24
924.466492	235	0.82
927.843018	70	0.24
928.509766	17	0.06
928.817993	101	0.35
930.713745	56	0.19
932.104675	227	0.79
932.893127	56	0.20
933.648254	616	2.16
934.706726	274	0.96
937.406860	316	1.10
938.657410	274	0.96
939.703613	170	0.59
941.638550	293	1.03
945.081360	235	0.82
946.132996	251	0.88
948.296875	70	0.24
948.862061	44	0.15
949.858154	57	0.20
950.368408	104	0.36
954.701233	209	0.73
955.789429	66	0.23
956.743103	54	0.19
957.319885	74	0.26
958.690674	271	0.95
959.592529	110	0.39
960.974487	289	1.01
962.027466	296	1.04
963.324524	38	0.13
964.580505	172	0.60
965.507507	38	0.13
966.752563	68	0.24
967.103882	69	0.24
968.154663	80	0.28
970.003235	98	0.34
971.129822	38	0.13
972.101563	39	0.14
972.630493	97	0.34
974.267822	517	1.81
975.142334	497	1.74
976.023010	31	0.11
977.315430	70	0.25
977.816040	269	0.94
978.668579	98	0.34
979.309326	124	0.44
979.898743	419	1.47
980.637756	36	0.12
981.751404	71	0.25
983.286743	163	0.57
984.066956	51	0.18
984.660889	180	0.63
985.038269	165	0.58
986.443604	144	0.50
986.957825	233	0.82
988.573792	73	0.26
989.638245	170	0.59
991.577087	330	1.15
994.203247	102	0.36
994.891357	68	0.24
995.301636	76	0.27
996.206726	41	0.14
996.824951	84	0.29
997.841736	210	0.73
998.409851	165	0.58
999.605591	137	0.48
1001.714172	147	0.51
1003.035583	373	1.31
1003.614868	75	0.26
1006.121948	61	0.21
1006.709778	79	0.28
1007.591187	467	1.63
1009.412354	28	0.10
1010.134033	7	0.03
1010.907898	88	0.31
1011.773804	37	0.13
1012.281250	99	0.35
1013.599182	76	0.27
1015.680786	38	0.13
1016.772278	319	1.12
1019.063110	17	0.06
1021.200928	175	0.61
1021.968567	208	0.73
1022.881836	110	0.38
1023.944031	21	0.07
1026.052368	109	0.38
1026.557861	38	0.13
1027.884399	772	2.70
1028.745972	26	0.09
1030.449585	400	1.40
1031.264160	252	0.88
1032.332886	37	0.13
1033.413452	18	0.06
1035.110352	55	0.19
1037.130249	51	0.18
1040.182007	38	0.13
1040.808594	57	0.20
1041.944580	261	0.91
1045.997803	202	0.71
1050.057007	56	0.20
1050.658203	26	0.09
1051.988281	62	0.22
1052.625244	108	0.38
1052.906128	75	0.26
1053.242554	38	0.13
1054.247314	130	0.45
1054.702393	132	0.46
1055.392944	70	0.24
1055.902222	133	0.47
1057.804077	293	1.03
1058.182861	135	0.47
1058.788086	225	0.79
1059.687134	59	0.21
1060.503784	100	0.35
1061.123169	199	0.70
1061.713379	329	1.15
1063.340698	230	0.80
1064.322632	134	0.47
1065.308228	40	0.14
1065.958252	149	0.52
1066.772827	417	1.46
1068.192261	37	0.13
1073.112427	137	0.48
1074.326172	128	0.45
1074.812012	24	0.09
1075.648560	224	0.78
1077.035034	245	0.86
1079.367920	125	0.44
1079.997192	202	0.71
1080.639404	1	0.00
1081.472656	391	1.37
1082.865234	38	0.13
1085.965576	271	0.95
1087.483643	38	0.13
1088.392456	73	0.26
1089.370972	217	0.76
1090.304688	166	0.58
1091.741089	101	0.35
1093.311768	38	0.13
1093.790405	38	0.13
1094.844116	38	0.13
1095.380249	37	0.13
1096.586670	38	0.13
1098.990479	37	0.13
1101.426025	145	0.51
1102.323364	38	0.13
1103.708008	37	0.13
1106.066650	140	0.49
1106.693604	110	0.38
1113.245117	53	0.19
1115.347412	113	0.40
1119.807617	75	0.26
1122.007324	98	0.34
1122.515747	36	0.13
1122.975464	148	0.52
1123.992432	110	0.38
1124.731079	69	0.24
1129.355713	70	0.24
1131.428345	128	0.45
1133.986328	112	0.39
1135.113281	101	0.35
1135.458252	37	0.13
1139.165894	54	0.19
1141.059570	81	0.28
1141.513428	75	0.26
1142.871704	53	0.19
1143.477661	50	0.17
1144.214722	664	2.32
1144.921143	61	0.21
1145.615967	453	1.58
1146.000854	17	0.06
1146.607300	585	2.05
1147.479126	246	0.86
1148.130737	378	1.32
1149.456177	185	0.65
1150.900024	745	2.61
1151.795044	558	1.95
1152.395264	147	0.52
1153.280640	323	1.13
1154.101685	385	1.35
1154.714844	59	0.21
1155.368652	640	2.24
1156.204346	340	1.19
1157.049683	358	1.25
1157.417969	473	1.65
1157.897949	430	1.50
1158.694458	302	1.06
1159.360596	146	0.51
1159.751709	132	0.46
1160.652710	116	0.41
1161.232788	114	0.40
1161.559448	344	1.20
1162.162598	6	0.02
1162.863403	868	3.04
1163.581299	350	1.22
1164.879883	177	0.62
1165.921875	444	1.56
1167.093994	589	2.06
1168.925415	132	0.46
1169.751465	73	0.26
1170.942383	71	0.25
1171.889771	148	0.52
1174.787964	23	0.08
1175.282959	268	0.94
1175.800171	68	0.24
1176.234619	84	0.29
1177.050171	165	0.58
1177.521851	112	0.39
1177.920410	71	0.25
1179.247192	101	0.35
1179.746216	89	0.31
1180.377563	113	0.40
1181.056030	67	0.23
1181.702148	66	0.23
1182.492432	106	0.37
1182.827271	37	0.13
1183.180664	69	0.24
1183.731689	36	0.12
1185.062012	273	0.96
1186.038574	171	0.60
1187.303223	49	0.17
1187.630859	161	0.56
1188.476807	263	0.92
1188.998291	99	0.35
1189.294922	39	0.14
1190.597900	112	0.39
1193.204102	131	0.46
1193.577026	24	0.08
1193.926880	38	0.13
1194.485962	278	0.97
1195.008545	68	0.24
1196.119385	168	0.59
1196.584473	21	0.07
1197.056763	68	0.24
1197.858521	129	0.45
1199.569092	289	1.01
1200.436890	101	0.35
1201.592651	138	0.48
1202.116333	135	0.47
1203.630005	39	0.14
1203.968140	38	0.13
1204.411133	37	0.13
1206.652344	74	0.26
1211.638062	89	0.31
1212.197998	38	0.13
1213.101440	138	0.48
1213.973145	11	0.04
1215.064087	99	0.35
1215.395020	37	0.13
1217.959229	68	0.24
1219.026611	38	0.13
1219.596313	139	0.49
1220.062866	38	0.13
1220.863770	106	0.37
1221.457642	18	0.06
1226.077637	72	0.25
1226.543945	75	0.26
1229.698242	38	0.13
1230.937012	38	0.13
1232.676270	37	0.13
1236.447876	67	0.23
1237.883057	36	0.13
1243.403809	38	0.13
1244.567261	73	0.26
1250.154541	39	0.14
1255.295898	61	0.21
1259.202637	38	0.13
1261.126587	23	0.08
1261.471558	66	0.23
1262.378418	15	0.05
1263.130005	37	0.13
1263.679443	75	0.26
1264.248413	53	0.19
1268.783691	59	0.21
1269.284302	38	0.13
1270.058716	47	0.16
1274.801636	37	0.13
1280.702637	38	0.13
1282.165527	67	0.23
1283.366943	70	0.24
1290.617188	76	0.27
1292.139160	95	0.33
1296.108887	22	0.08
1304.265747	73	0.26
1309.171387	22	0.08
1311.269409	80	0.28
1317.124512	38	0.13
1318.633789	23	0.08
1319.431396	24	0.08
1320.105957	41	0.14
1320.626221	33	0.12
1320.969238	69	0.24
1321.520508	37	0.13
1322.607666	67	0.23
1322.971313	71	0.25
1325.088501	39	0.14
1326.032104	38	0.13
1326.583008	37	0.13
1327.612549	23	0.08
1328.154541	148	0.52
1328.698730	51	0.18
1329.130737	38	0.13
1329.874634	70	0.24
1330.265259	38	0.13
1330.870972	43	0.15
1331.163940	51	0.18
1331.568115	38	0.13
1332.380737	105	0.37
1334.079224	171	0.60
1335.868896	40	0.14
1336.330200	38	0.13
1337.557983	38	0.13
1339.010254	57	0.20
1339.456299	68	0.24
1342.239258	36	0.13
1344.295532	11	0.04
1347.713989	21	0.07
1348.019653	38	0.13
1348.698975	5	0.02
1350.155762	22	0.08
1352.483887	38	0.13
1353.847778	44	0.15
1354.192871	37	0.13
1357.781006	38	0.13
1363.041626	39	0.14
1363.583496	37	0.13
1364.452881	38	0.13
1365.562012	39	0.14
1366.239258	5	0.02
1368.234131	51	0.18
1387.421387	22	0.08
1390.047119	90	0.31
1394.577637	7	0.02
1398.304810	69	0.24
1400.796875	38	0.13
1401.713379	39	0.14
1402.258301	22	0.08
1403.113159	102	0.36
1404.015869	19	0.07
1404.913940	75	0.26
1408.570435	67	0.23
1409.978760	39	0.14
1410.504883	37	0.13
1413.155762	3	0.01
1416.343262	14	0.05
1422.515137	22	0.08
1424.705933	39	0.14
1425.114258	37	0.13
1427.093262	38	0.13
1430.960693	50	0.18
1433.137085	18	0.06
1433.816895	50	0.17
1437.581421	28	0.10
1438.359009	38	0.13
1439.950806	37	0.13
1440.518677	26	0.09
1443.072876	7	0.03
1443.614258	37	0.13
1445.968262	6	0.02
1447.713867	21	0.07
1447.989258	37	0.13
1459.096436	7	0.02
1459.411255	37	0.13
1463.187012	22	0.08
1464.960693	75	0.26
1468.327637	14	0.05
1471.062012	22	0.08
1474.963379	39	0.14
1475.547729	41	0.14
1476.145996	37	0.13
1477.931641	57	0.20
1479.775879	21	0.07
1480.067871	37	0.13
1481.771729	84	0.29
1482.823730	77	0.27
1484.218262	22	0.08
1485.702637	38	0.13
1492.124512	14	0.05
1496.687622	68	0.24
1499.437012	38	0.13
1500.796387	22	0.08
1503.108887	38	0.13
1505.515137	22	0.08
1515.515137	38	0.13
1530.796387	38	0.13
1531.744019	11	0.04
1532.268799	40	0.14
1532.802368	67	0.23
1538.596436	39	0.14
1538.911255	37	0.13
1540.640137	22	0.08
1551.155762	38	0.13
1561.275269	39	0.14
1561.770508	37	0.13
1562.687012	14	0.05
1567.390137	38	0.13
1569.640991	39	0.14
1570.348633	37	0.13
1572.858887	22	0.08
1577.796387	19	0.07
1580.479126	39	0.14
1581.020508	37	0.13
1585.702637	38	0.13
1591.818115	40	0.14
1592.161011	37	0.13
1594.624512	19	0.07
1597.687012	38	0.13
1600.952637	38	0.13
1608.546753	38	0.13
1609.359131	22	0.08
1627.547241	19	0.07
1628.538940	60	0.21
1649.062012	38	0.13
1663.405762	7	0.03
1687.327637	38	0.13
1692.792480	37	0.13
1693.049561	3	0.01
1714.624512	3	0.01
1752.202637	38	0.13
1821.952637	38	0.13
1876.405640	190	0.66
1892.452637	38	0.13
