Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\XRAW.CHL\1379.raw
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	peg_azidotetrazine_3
Sample Number	79
Sample Position	RC5
Sample ID	1379
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	4:08:10 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Mass Spectrum Header Information:
Detector Name:	MS
Actual Filter:	{0,0}  + c ESI !corona sid=60.00  det=1365.00 Full ms [500.00-2000.00]
Spectrum Type:	Centroid Spectrum
Data points:	758
Minimum Mass (m/z):	500.000000
Maximum Mass (m/z):	2000.000050
Mass Resolution (m/z):	0.500000
Base Mass (m/z):	904.982483
Base Intensity (counts):	78050
TIC (counts):	296544
Retention Time (min):	2.01 [corrected by 0.05]
Scan:	118
Bkg1 RT (min):	1.90 [corrected by 0.05]
Bkg1 Scan:	112
Bkg2 RT (min):	2.25 [corrected by 0.05]
Bkg2 Scan:	132




Raw Data:
Mass (m/z)	Intensity (counts)	Rel. Intensity (%)
851.954346	10	0.01
852.446167	199	0.25
853.288879	55	0.07
854.359680	739	0.95
855.343994	530	0.68
856.590332	811	1.04
857.656372	587	0.75
859.328064	420	0.54
861.228882	469	0.60
862.356873	911	1.17
863.473145	896	1.15
864.482300	833	1.07
866.370667	268	0.34
867.277771	1159	1.48
869.063843	724	0.93
870.179321	225	0.29
871.195068	466	0.60
872.333496	153	0.20
873.778442	225	0.29
874.816650	201	0.26
876.176880	198	0.25
876.571228	25	0.03
877.418518	648	0.83
878.848816	232	0.30
879.978516	230	0.29
880.431396	61	0.08
881.619141	540	0.69
882.464417	262	0.34
882.913574	17	0.02
883.844238	528	0.68
885.090942	136	0.17
885.905823	392	0.50
887.169312	26	0.03
887.597656	102	0.13
888.311707	158	0.20
889.044067	100	0.13
889.322754	162	0.21
889.750549	74	0.10
890.315430	178	0.23
890.741638	73	0.09
891.978638	369	0.47
892.961060	181	0.23
894.578003	201	0.26
895.396545	39	0.05
896.627380	63	0.08
897.706055	52	0.07
898.009583	39	0.05
898.861511	225	0.29
899.348877	117	0.15
900.582642	71	0.09
901.168762	332	0.43
902.009521	38	0.05
902.430359	68	0.09
903.242798	69	0.09
904.230408	798	1.02
904.982483	78050	100.00
905.953735	43060	55.17
906.935425	11212	14.37
907.801514	447	0.57
908.102905	107	0.14
909.895630	37	0.05
911.495972	177	0.23
911.887634	339	0.43
912.676331	107	0.14
914.988647	732	0.94
916.602295	243	0.31
917.706238	39	0.05
921.788025	599	0.77
923.769104	74	0.09
924.423584	50	0.06
925.538818	116	0.15
927.085999	3006	3.85
927.963867	450	0.58
928.998596	189	0.24
929.925232	810	1.04
931.115906	473	0.61
933.272400	168	0.22
934.322815	58	0.07
934.819214	264	0.34
935.924805	549	0.70
938.153687	22	0.03
938.647644	38	0.05
939.878601	523	0.67
941.435059	357	0.46
942.156433	71	0.09
943.296326	40	0.05
945.133911	11	0.01
945.614136	170	0.22
946.505188	161	0.21
949.591370	42	0.05
953.960510	37	0.05
955.663208	42	0.05
955.982544	48	0.06
956.394592	130	0.17
957.540222	187	0.24
959.618408	38	0.05
959.913208	73	0.09
960.467407	213	0.27
961.548706	252	0.32
962.451050	382	0.49
963.275208	140	0.18
964.211060	257	0.33
964.883850	10	0.01
965.655579	163	0.21
966.838623	167	0.21
967.241150	198	0.25
967.673279	201	0.26
968.640076	68	0.09
970.697144	261	0.33
972.107971	405	0.52
972.946838	133	0.17
975.228638	163	0.21
975.923584	74	0.09
977.222168	175	0.22
977.883789	22	0.03
978.860901	69	0.09
979.372131	212	0.27
980.910706	313	0.40
981.567993	430	0.55
981.983093	195	0.25
982.443970	62	0.08
983.497070	72	0.09
984.186584	170	0.22
987.463440	38	0.05
987.975647	148	0.19
989.230713	20	0.03
990.683655	47	0.06
992.457703	274	0.35
993.607971	341	0.44
996.777893	444	0.57
998.231262	50	0.06
999.144043	133	0.17
999.548889	194	0.25
1000.308167	140	0.18
1000.863708	255	0.33
1002.114746	37	0.05
1002.943970	40	0.05
1003.962158	132	0.17
1004.702576	39	0.05
1005.979004	275	0.35
1006.708923	105	0.13
1007.861389	14	0.02
1008.631775	331	0.42
1010.194519	27	0.03
1010.716492	73	0.09
1011.661499	408	0.52
1012.764221	70	0.09
1014.312195	98	0.12
1015.188293	44	0.06
1015.763489	143	0.18
1016.244446	13	0.02
1016.764771	31	0.04
1017.123962	76	0.10
1017.786377	99	0.13
1018.680725	38	0.05
1019.934631	38	0.05
1021.295105	36	0.05
1021.884766	176	0.23
1022.276672	85	0.11
1025.491211	273	0.35
1026.566528	168	0.22
1027.519165	131	0.17
1029.379150	255	0.33
1029.695190	112	0.14
1030.063599	157	0.20
1030.596680	357	0.46
1031.407227	13	0.02
1031.945801	100	0.13
1033.157593	203	0.26
1034.535645	130	0.17
1035.022705	105	0.13
1035.937134	39	0.05
1036.841675	205	0.26
1037.241577	101	0.13
1038.001709	38	0.05
1039.126587	278	0.36
1039.765381	262	0.34
1040.284302	83	0.11
1041.992188	38	0.05
1043.282593	74	0.09
1043.942017	37	0.05
1044.779663	79	0.10
1045.944336	258	0.33
1046.432007	171	0.22
1047.331421	279	0.36
1048.080200	162	0.21
1049.072632	185	0.24
1050.166748	314	0.40
1051.886475	146	0.19
1052.531616	58	0.07
1053.327759	198	0.25
1056.294556	154	0.20
1058.290161	56	0.07
1059.585083	28	0.04
1060.169556	167	0.21
1061.610107	70	0.09
1062.084595	69	0.09
1062.606689	67	0.09
1063.240845	165	0.21
1063.878540	144	0.18
1064.792114	69	0.09
1065.350952	35	0.05
1065.862915	321	0.41
1068.901367	48	0.06
1070.156128	57	0.07
1071.548828	38	0.05
1072.250244	98	0.13
1073.098877	191	0.24
1073.724243	41	0.05
1076.468750	55	0.07
1077.281860	101	0.13
1077.655396	162	0.21
1078.466553	73	0.09
1080.250488	74	0.09
1081.868286	104	0.13
1083.246704	41	0.05
1083.711792	8	0.01
1084.760620	565	0.72
1085.380249	122	0.16
1085.924316	176	0.23
1086.540894	53	0.07
1087.128052	211	0.27
1087.987793	188	0.24
1089.645874	15	0.02
1091.117188	8	0.01
1092.309692	20	0.03
1092.684692	55	0.07
1093.718994	136	0.17
1094.895386	40	0.05
1096.123535	76	0.10
1097.071899	70	0.09
1098.583618	138	0.18
1099.743530	256	0.33
1100.590210	22	0.03
1101.255249	141	0.18
1102.189209	98	0.13
1102.629272	82	0.11
1103.892822	337	0.43
1104.540894	39	0.05
1105.001343	95	0.12
1105.864380	37	0.05
1107.645020	39	0.05
1107.941895	39	0.05
1110.879517	238	0.30
1114.413818	66	0.08
1116.745605	282	0.36
1118.303223	197	0.25
1119.008057	76	0.10
1119.646240	478	0.61
1120.331177	428	0.55
1121.350098	267	0.34
1122.197876	37	0.05
1122.916626	286	0.37
1125.328979	460	0.59
1126.053955	147	0.19
1127.015625	327	0.42
1127.807739	37	0.05
1128.460693	8	0.01
1129.440430	185	0.24
1129.901855	178	0.23
1130.530762	754	0.97
1131.859131	575	0.74
1133.121216	803	1.03
1134.083618	674	0.86
1135.580933	117	0.15
1135.996216	459	0.59
1136.924561	690	0.88
1137.902466	382	0.49
1138.718750	42	0.05
1142.801147	18	0.02
1144.124268	39	0.05
1144.989014	75	0.10
1146.590332	38	0.05
1147.798950	40	0.05
1150.781128	300	0.38
1152.225464	174	0.22
1153.416992	19	0.02
1154.075317	216	0.28
1155.114868	37	0.05
1156.383545	95	0.12
1157.678711	38	0.05
1158.432373	38	0.05
1158.892578	18	0.02
1159.555054	52	0.07
1160.347534	114	0.15
1160.818237	70	0.09
1161.212769	68	0.09
1161.801880	15	0.02
1163.656494	69	0.09
1164.538818	256	0.33
1167.725952	260	0.33
1168.534790	12	0.01
1169.492188	68	0.09
1169.821533	39	0.05
1175.666748	77	0.10
1176.262573	101	0.13
1177.648926	146	0.19
1180.338745	101	0.13
1180.763916	17	0.02
1181.411987	100	0.13
1181.888916	22	0.03
1182.255005	37	0.05
1184.221558	51	0.06
1184.661255	37	0.05
1186.939819	80	0.10
1190.004272	205	0.26
1191.066406	6	0.01
1192.130493	378	0.48
1192.993652	108	0.14
1194.676514	255	0.33
1195.677246	37	0.05
1197.635742	38	0.05
1197.968628	39	0.05
1198.914063	38	0.05
1199.224487	37	0.05
1201.433350	18	0.02
1202.570923	77	0.10
1203.499512	39	0.05
1204.306396	22	0.03
1204.954834	273	0.35
1205.646362	227	0.29
1206.740356	102	0.13
1207.077637	82	0.11
1208.745605	8	0.01
1212.770142	14	0.02
1213.152954	74	0.09
1215.013184	28	0.04
1215.598755	37	0.05
1216.889893	39	0.05
1217.496704	78	0.10
1218.034424	155	0.20
1218.324829	40	0.05
1218.781738	38	0.05
1223.486694	62	0.08
1224.948975	15	0.02
1225.228394	67	0.09
1227.742920	96	0.12
1228.589844	51	0.07
1230.651855	29	0.04
1231.229004	39	0.05
1231.570313	39	0.05
1233.302856	27	0.03
1236.347778	38	0.05
1238.320190	77	0.10
1239.471436	149	0.19
1240.098267	102	0.13
1240.530029	50	0.06
1242.910278	37	0.05
1243.785400	37	0.05
1244.421387	51	0.07
1245.608887	7	0.01
1249.106812	90	0.12
1252.536743	37	0.05
1254.805420	70	0.09
1255.582275	16	0.02
1256.394043	184	0.24
1257.541138	38	0.05
1258.200562	191	0.24
1259.941650	17	0.02
1260.526123	38	0.05
1261.047119	74	0.09
1261.655518	27	0.03
1262.561646	40	0.05
1267.558105	76	0.10
1268.073608	38	0.05
1268.566162	71	0.09
1270.329590	139	0.18
1271.004395	6	0.01
1272.976685	25	0.03
1277.527710	52	0.07
1280.908691	16	0.02
1281.610474	220	0.28
1282.667358	39	0.05
1283.078491	72	0.09
1283.479492	39	0.05
1286.504028	38	0.05
1288.867554	66	0.08
1289.230225	69	0.09
1290.739990	37	0.05
1291.734497	82	0.10
1292.704346	212	0.27
1294.643188	104	0.13
1296.353760	40	0.05
1296.864380	2	0.00
1299.776123	106	0.14
1300.804321	28	0.04
1302.124512	17	0.02
1303.103516	40	0.05
1304.098755	37	0.05
1306.678345	57	0.07
1307.202515	74	0.09
1307.576538	118	0.15
1310.183838	75	0.10
1312.287476	159	0.20
1314.276245	31	0.04
1314.812378	38	0.05
1315.317505	37	0.05
1317.708740	20	0.03
1318.383789	38	0.05
1318.831421	56	0.07
1320.376709	214	0.27
1321.449219	174	0.22
1323.550049	114	0.15
1325.826782	26	0.03
1326.400757	38	0.05
1326.714111	45	0.06
1328.202637	4	0.01
1331.984253	39	0.05
1333.485962	270	0.35
1335.325928	73	0.09
1339.775757	37	0.05
1340.067993	37	0.05
1341.483887	12	0.02
1342.644897	27	0.03
1343.478638	38	0.05
1343.851563	38	0.05
1344.378174	46	0.06
1350.515381	4	0.01
1351.324585	20	0.03
1351.942871	14	0.02
1352.734131	2	0.00
1353.979126	14	0.02
1354.371582	89	0.11
1354.965698	53	0.07
1355.633545	69	0.09
1356.075317	75	0.10
1356.890381	14	0.02
1358.123413	40	0.05
1358.755371	37	0.05
1359.562256	16	0.02
1365.148682	14	0.02
1365.591675	70	0.09
1366.013062	35	0.04
1366.395874	37	0.05
1367.494507	25	0.03
1367.776123	38	0.05
1368.426147	26	0.03
1369.036255	37	0.05
1369.968262	39	0.05
1371.827637	19	0.02
1379.097778	54	0.07
1380.192505	25	0.03
1384.406128	39	0.05
1385.171631	16	0.02
1388.057617	31	0.04
1388.349243	37	0.05
1389.404907	38	0.05
1389.708496	37	0.05
1390.775757	25	0.03
1391.072876	38	0.05
1391.602417	20	0.03
1392.067505	37	0.05
1403.108887	9	0.01
1405.023438	25	0.03
1405.352173	40	0.05
1405.757202	75	0.10
1407.082520	38	0.05
1408.108887	39	0.05
1413.921387	27	0.03
1415.027466	74	0.09
1415.362183	19	0.02
1421.496460	47	0.06
1421.911255	37	0.05
1426.677002	16	0.02
1427.168335	105	0.13
1427.928589	70	0.09
1428.448120	47	0.06
1433.499512	27	0.03
1434.664063	70	0.09
1438.358887	27	0.03
1456.265625	39	0.05
1457.171631	15	0.02
1460.077637	14	0.02
1463.812012	27	0.03
1465.687012	39	0.05
1473.202637	27	0.03
1476.049805	16	0.02
1476.453247	39	0.05
1476.988159	39	0.05
1477.598755	25	0.03
1481.452637	16	0.02
1482.757446	62	0.08
1486.483887	39	0.05
1488.077637	39	0.05
1489.983887	27	0.03
1492.332275	39	0.05
1492.723755	37	0.05
1499.655762	27	0.03
1503.202637	39	0.05
1506.890137	39	0.05
1508.968262	39	0.05
1516.280762	39	0.05
1518.932007	26	0.03
1519.224243	37	0.05
1525.089600	6	0.01
1525.364258	37	0.05
1527.749512	27	0.03
1532.890137	39	0.05
1540.280762	39	0.05
1541.812012	16	0.02
1560.390137	27	0.03
1562.577637	39	0.05
1564.062012	16	0.02
1565.500610	40	0.05
1566.208130	37	0.05
