Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\XRAW.CHL\22594.raw
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	rxn488_4
Sample Number	74
Sample Position	RC2
Sample ID	22594
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:43:26 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Mass Spectrum Header Information:
Detector Name:	MS
Actual Filter:	{0,0}  + c ESI !corona sid=60.00  det=1365.00 Full ms [500.00-2000.00]
Spectrum Type:	Centroid Spectrum
Data points:	748
Minimum Mass (m/z):	500.000000
Maximum Mass (m/z):	2000.000050
Mass Resolution (m/z):	0.500000
Base Mass (m/z):	848.959900
Base Intensity (counts):	31760
TIC (counts):	253094
Retention Time (min):	1.89 [corrected by 0.05]
Scan:	111
Bkg1 RT (min):	1.81 [corrected by 0.05]
Bkg1 Scan:	107
Bkg2 RT (min):	1.96 [corrected by 0.05]
Bkg2 Scan:	115




Raw Data:
Mass (m/z)	Intensity (counts)	Rel. Intensity (%)
501.843658	262	0.82
505.317047	285	0.90
506.000397	178	0.56
507.137665	150	0.47
508.680420	107	0.34
509.594330	886	2.79
511.580719	138	0.44
514.678772	270	0.85
515.639038	1389	4.38
519.581421	1623	5.11
522.727295	741	2.33
525.049500	57	0.18
527.152954	933	2.94
529.676453	800	2.52
531.012146	840	2.64
532.207886	65	0.21
533.365540	55	0.17
535.338318	1089	3.43
536.409302	419	1.32
537.467041	226	0.71
538.497192	22	0.07
539.696533	469	1.48
544.322937	306	0.96
545.277466	925	2.91
546.315735	97	0.31
547.770203	644	2.03
548.882568	69	0.22
550.093872	329	1.04
552.222229	436	1.37
555.535034	817	2.57
556.581177	99	0.31
560.839478	632	1.99
561.864868	375	1.18
563.931091	475	1.50
565.110413	486	1.53
566.173645	189	0.60
567.237366	163	0.51
568.162720	158	0.50
569.022583	373	1.17
570.135864	772	2.43
573.400085	577	1.82
574.238281	353	1.11
576.670898	765	2.41
580.185852	350	1.10
582.219360	481	1.52
583.377747	240	0.76
584.955261	151	0.48
586.098450	553	1.74
587.810974	1094	3.44
589.957764	450	1.42
591.538940	632	1.99
595.337036	109	0.34
598.021606	1364	4.29
599.193665	300	0.94
599.877991	365	1.15
600.944336	687	2.16
601.921875	228	0.72
604.069641	1076	3.39
605.064514	596	1.88
607.403870	470	1.48
609.421143	989	3.11
615.312256	615	1.94
616.832458	301	0.95
618.074707	291	0.92
620.829407	838	2.64
622.418762	235	0.74
623.524231	479	1.51
624.755005	855	2.69
627.209534	166	0.52
628.278259	595	1.87
630.805664	540	1.70
632.624146	1183	3.72
633.887756	694	2.19
634.888916	302	0.95
636.859985	217	0.68
640.200867	540	1.70
641.405518	394	1.24
642.758850	823	2.59
643.958801	68	0.21
646.031982	350	1.10
646.908203	831	2.62
647.724365	344	1.08
649.146606	516	1.62
650.528931	605	1.90
653.841858	110	0.35
655.074646	423	1.33
656.955200	42	0.13
658.698792	1198	3.77
660.172852	1548	4.87
663.124451	352	1.11
664.296448	1014	3.19
667.669312	986	3.10
669.395203	298	0.94
672.222961	409	1.29
673.823975	638	2.01
676.273071	648	2.04
678.460815	33	0.10
679.547546	87	0.28
680.552734	490	1.54
685.234741	519	1.63
686.039856	298	0.94
689.136658	414	1.31
691.662903	168	0.53
692.673828	140	0.44
693.836304	1067	3.36
694.983521	172	0.54
696.833801	187	0.59
697.670166	14	0.04
698.510437	1114	3.51
701.184265	162	0.51
704.355103	98	0.31
705.306335	85	0.27
706.319580	26	0.08
709.714355	201	0.63
710.516663	57	0.18
711.379395	322	1.02
712.380859	407	1.28
714.067810	385	1.21
714.808655	82	0.26
715.594055	59	0.18
716.494873	140	0.44
718.619812	344	1.08
720.068237	419	1.32
721.109253	2297	7.23
722.184326	520	1.64
723.269348	646	2.03
724.406494	178	0.56
725.317932	376	1.18
726.526001	258	0.81
727.497620	358	1.13
728.445679	10	0.03
729.195740	234	0.74
731.306274	583	1.84
732.253418	175	0.55
734.122437	338	1.06
735.198608	632	1.99
736.353333	402	1.27
737.161682	3	0.01
738.055603	145	0.46
738.822998	112	0.35
740.138000	1718	5.41
741.248840	87	0.27
741.962036	25	0.08
742.404785	744	2.34
742.872925	345	1.09
744.731995	80	0.25
745.885925	534	1.68
748.509583	167	0.52
749.032776	423	1.33
749.536072	49	0.15
750.476379	297	0.94
751.535156	275	0.87
752.625793	42	0.13
753.753906	424	1.34
754.870300	9187	28.93
755.727051	1406	4.43
756.291809	1486	4.68
759.733337	629	1.98
761.810486	431	1.36
762.465820	71	0.23
763.197510	378	1.19
765.651245	155	0.49
768.341492	718	2.26
769.324463	207	0.65
770.275330	451	1.42
771.674866	1132	3.56
773.822632	783	2.47
774.528809	1363	4.29
775.295715	86	0.27
775.981628	123	0.39
776.960510	830	2.61
779.394653	318	1.00
780.440613	3560	11.21
782.604065	436	1.37
783.723145	704	2.22
785.756348	692	2.18
787.692261	3	0.01
790.260315	434	1.37
791.259094	1345	4.24
791.972656	367	1.16
792.972534	1311	4.13
795.909790	542	1.71
797.178589	586	1.85
798.641541	310	0.98
799.641968	269	0.85
802.049011	1144	3.60
802.753113	129	0.41
803.695435	262	0.82
804.586121	303	0.95
805.074829	85	0.27
806.646118	477	1.50
808.528503	691	2.18
809.163391	1700	5.35
809.641174	2061	6.49
810.252869	1689	5.32
811.095154	123	0.39
812.988098	649	2.04
814.025696	3239	10.20
814.575623	5960	18.77
815.330200	2085	6.56
816.757690	859	2.70
817.963379	585	1.84
820.018799	417	1.31
820.517212	427	1.35
821.460510	749	2.36
822.726563	608	1.91
824.484741	39	0.12
