Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\XRAW.CHL\22666.raw
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	dbco593_4
Sample Number	75
Sample Position	RC3
Sample ID	22666
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:48:23 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Mass Spectrum Header Information:
Detector Name:	MS
Actual Filter:	{0,0}  + c ESI !corona sid=60.00  det=1365.00 Full ms [500.00-2000.00]
Spectrum Type:	Centroid Spectrum
Data points:	678
Minimum Mass (m/z):	500.000000
Maximum Mass (m/z):	2000.000050
Mass Resolution (m/z):	0.500000
Base Mass (m/z):	775.511414
Base Intensity (counts):	44975
TIC (counts):	232149
Retention Time (min):	1.74 [corrected by 0.05]
Scan:	103
Bkg1 RT (min):	1.18 [corrected by 0.05]
Bkg1 Scan:	71
Bkg2 RT (min):	2.38 [corrected by 0.05]
Bkg2 Scan:	139




Raw Data:
Mass (m/z)	Intensity (counts)	Rel. Intensity (%)
504.416931	1789	3.98
507.232758	237	0.53
508.115814	176	0.39
510.415649	277	0.62
511.443085	50	0.11
512.578186	60	0.13
513.486450	276	0.61
519.894653	671	1.49
521.245911	294	0.65
523.114929	40	0.09
527.524597	1697	3.77
528.542175	20	0.04
529.514648	160	0.36
534.559387	295	0.66
535.742676	25	0.06
536.937622	47	0.10
539.204285	453	1.01
541.285400	72	0.16
542.478210	198	0.44
543.923218	835	1.86
546.332520	375	0.83
551.375000	497	1.10
554.209717	254	0.56
555.183533	450	1.00
559.132385	190	0.42
561.981567	1175	2.61
562.988525	653	1.45
564.195068	505	1.12
568.424072	81	0.18
570.645996	30	0.07
574.835205	110	0.24
575.824097	762	1.69
581.090759	931	2.07
582.912231	331	0.74
584.004761	8	0.02
586.162292	772	1.72
587.150879	472	1.05
589.565918	26	0.06
592.044067	1024	2.28
593.224243	478	1.06
595.748474	279	0.62
596.735535	1198	2.66
599.608521	207	0.46
600.671631	876	1.95
604.042419	12	0.03
605.866211	1339	2.98
607.077759	1102	2.45
610.908997	169	0.37
612.154724	80	0.18
613.355835	1111	2.47
614.500671	1192	2.65
616.068420	88	0.20
617.600220	844	1.88
620.480042	184	0.41
