Filepath	C:\Chromel\data\Data\2023\2023 W36.SEQ\XRAW.CHL\22666.raw
Channel	UV_VIS_3

Sample Information:
Datasource	INDIA_local
Sequence	Data\2023\2023 W36.SEQ
Sample	dbco593_4
Sample Number	75
Sample Position	RC3
Sample ID	22666
Comment	JL0001_68h_1
QNT method	Method default
PGM file	5-100% positive extended MS-range 500-2000
Type	unknown
Status	finished
Date	9/5/2023
Time	3:48:23 PM
Injection Volume (µl)	12.00
Dilution Factor	1.000000
Amount	10.000000
Weight	10.000000

Mass Spectrum Header Information:
Detector Name:	MS
Actual Filter:	{0,0}  + c ESI !corona sid=60.00  det=1365.00 Full ms [500.00-2000.00]
Spectrum Type:	Centroid Spectrum
Data points:	678
Minimum Mass (m/z):	500.000000
Maximum Mass (m/z):	2000.000050
Mass Resolution (m/z):	0.500000
Base Mass (m/z):	775.511414
Base Intensity (counts):	44975
TIC (counts):	232149
Retention Time (min):	1.74 [corrected by 0.05]
Scan:	103
Bkg1 RT (min):	1.18 [corrected by 0.05]
Bkg1 Scan:	71
Bkg2 RT (min):	2.38 [corrected by 0.05]
Bkg2 Scan:	139




Raw Data:
Mass (m/z)	Intensity (counts)	Rel. Intensity (%)
621.734741	217	0.48
622.923523	231	0.51
624.044861	17	0.04
626.531067	1082	2.41
627.506653	218	0.48
630.362915	190	0.42
631.413818	276	0.61
632.522949	428	0.95
634.635010	111	0.25
635.640991	221	0.49
636.698914	198	0.44
638.531372	259	0.58
639.587524	104	0.23
640.463379	78	0.17
646.425842	446	0.99
647.558838	561	1.25
649.624146	122	0.27
650.576904	182	0.40
651.725891	113	0.25
654.479980	445	0.99
655.439636	395	0.88
658.179810	873	1.94
659.679688	29	0.06
661.739014	840	1.87
663.648499	385	0.86
665.151855	83	0.19
665.986206	785	1.75
667.019592	290	0.65
668.384644	289	0.64
669.331787	730	1.62
671.338318	327	0.73
673.239685	664	1.48
675.328735	646	1.44
676.371155	252	0.56
678.807190	401	0.89
679.852783	169	0.37
681.920776	0	0.00
683.189941	367	0.82
684.152161	48	0.11
686.178589	158	0.35
689.482361	145	0.32
691.094238	473	1.05
692.942749	169	0.38
695.469971	601	1.34
696.925049	64	0.14
697.374390	175	0.39
699.801331	777	1.73
700.999634	235	0.52
702.292786	768	1.71
703.874512	112	0.25
704.669983	18	0.04
706.682739	56	0.12
707.947449	279	0.62
708.778198	551	1.23
710.710266	313	0.69
712.541565	586	1.30
713.836426	25	0.05
716.583191	282	0.63
717.546448	349	0.78
718.890442	713	1.59
720.117004	938	2.08
721.649780	3221	7.16
722.677856	1375	3.06
723.885742	10	0.02
725.372009	244	0.54
727.985901	535	1.19
730.095764	661	1.47
731.775635	318	0.71
733.873474	859	1.91
736.446106	312	0.69
738.016663	236	0.53
739.239075	223	0.50
743.525574	156	0.35
747.335327	394	0.88
749.174500	374	0.83
750.461182	205	0.46
752.576172	231	0.51
754.987427	477	1.06
757.490662	506	1.13
758.364075	194	0.43
759.568359	192	0.43
760.743469	175	0.39
761.583679	493	1.10
763.420227	640	1.42
765.635071	270	0.60
766.729065	1040	2.31
767.801025	461	1.03
769.168579	377	0.84
772.090210	124	0.28
773.788574	649	1.44
775.511414	44975	100.00
776.549988	12816	28.50
777.464355	5834	12.97
778.488342	2469	5.49
779.366089	375	0.83
779.804749	526	1.17
780.437439	287	0.64
781.872314	655	1.46
783.605286	423	0.94
786.207153	89	0.20
786.908264	601	1.34
790.126892	245	0.54
791.663757	72	0.16
792.634277	5	0.01
793.559631	6181	13.74
794.798340	276	0.61
795.239929	249	0.55
795.864502	492	1.09
797.141724	970	2.16
797.796631	319	0.71
798.421692	185	0.41
799.192993	183	0.41
800.806824	810	1.80
802.009583	524	1.17
802.824280	16	0.04
805.671509	209	0.47
806.924927	190	0.42
808.820435	368	0.82
809.726135	112	0.25
810.421265	209	0.46
812.298401	170	0.38
813.324036	189	0.42
814.448364	250	0.55
815.544556	175	0.39
817.774597	528	1.17
819.587830	152	0.34
821.164001	48	0.11
821.986572	246	0.55
822.713135	161	0.36
824.356689	478	1.06
826.344666	362	0.80
827.859009	217	0.48
830.050354	534	1.19
834.170410	30	0.07
834.952881	61	0.14
836.468445	342	0.76
838.359741	375	0.83
839.074951	78	0.17
840.132202	41	0.09
841.580261	443	0.98
848.508484	139	0.31
849.176941	201	0.45
851.064758	429	0.95
852.075256	185	0.41
853.014832	33	0.07
854.148438	528	1.17
856.052185	568	1.26
858.351013	138	0.31
859.172180	280	0.62
861.303772	329	0.73
864.594910	390	0.87
865.296753	115	0.26
867.550537	560	1.25
870.516357	67	0.15
872.902954	119	0.27
874.514587	460	1.02
877.083740	34	0.08
877.955750	106	0.24
878.709351	3	0.01
880.275146	154	0.34
882.237732	353	0.78
883.305908	52	0.12
884.669006	91	0.20
887.393066	89	0.20
889.308350	66	0.15
890.138062	189	0.42
891.160156	147	0.33
892.157715	122	0.27
893.393921	232	0.52
894.263672	68	0.15
896.162354	311	0.69
897.591919	334	0.74
898.626709	598	1.33
900.185852	79	0.18
900.684326	42	0.09
901.276306	74	0.16
903.315674	129	0.29
905.712341	216	0.48
906.916992	258	0.57
907.651062	458	1.02
909.799072	528	1.17
910.682434	71	0.16
911.520508	607	1.35
914.051758	1136	2.53
917.579285	172	0.38
918.604248	252	0.56
919.325562	411	0.91
920.255920	221	0.49
920.772888	148	0.33
921.278625	109	0.24
921.771423	246	0.55
922.368408	60	0.13
924.131836	319	0.71
926.040649	453	1.01
927.436462	490	1.09
928.434875	468	1.04
929.106079	14	0.03
929.700378	149	0.33
931.015015	308	0.68
931.547424	153	0.34
933.254211	270	0.60
934.513000	508	1.13
935.416321	17	0.04
936.082581	76	0.17
936.411255	164	0.36
937.386475	79	0.18
938.556274	51	0.11
939.169556	93	0.21
939.522034	137	0.30
940.472595	117	0.26
941.437195	27	0.06
942.620728	126	0.28
943.519958	49	0.11
944.206482	154	0.34
945.413269	208	0.46
946.170166	34	0.07
947.079102	170	0.38
948.442932	35	0.08
949.300842	117	0.26
950.148315	183	0.41
951.593628	27	0.06
952.757324	129	0.29
953.788574	258	0.57
954.670044	54	0.12
956.161072	605	1.35
957.385925	144	0.32
958.092346	116	0.26
959.381653	98	0.22
961.226318	138	0.31
965.416748	378	0.84
966.626038	271	0.60
968.058960	182	0.40
968.856689	164	0.36
970.157715	162	0.36
970.567383	10	0.02
970.831726	34	0.08
972.919128	144	0.32
974.672119	235	0.52
975.804810	88	0.20
977.909546	39	0.09
980.007629	304	0.68
980.826050	15572	34.62
981.747437	9823	21.84
982.750427	4483	9.97
984.748840	36	0.08
987.320068	17	0.04
988.324097	259	0.58
989.039734	60	0.13
990.193481	116	0.26
990.767761	90	0.20
991.697205	170	0.38
992.818054	212	0.47
994.428284	4	0.01
994.748535	33	0.07
996.585693	30	0.07
997.208862	120	0.27
998.651978	145	0.32
999.204163	121	0.27
999.740234	24	0.05
1002.836853	866	1.93
1003.589966	168	0.37
1003.951050	354	0.79
1004.332275	315	0.70
1005.132324	8	0.02
1006.959229	60	0.13
1008.319336	34	0.08
1009.267578	119	0.26
1011.307617	60	0.13
1012.410706	33	0.07
1012.916199	273	0.61
1014.599487	64	0.14
1016.247375	63	0.14
1017.274597	34	0.08
1018.646606	541	1.20
1019.395813	164	0.36
1020.403564	146	0.32
1020.827942	145	0.32
1021.521790	74	0.16
1022.386902	41	0.09
1023.421448	63	0.14
1024.296997	33	0.07
1024.890503	34	0.08
1026.483276	445	0.99
1027.537476	63	0.14
1028.432007	692	1.54
1029.739380	159	0.35
1030.264282	168	0.37
1031.283325	205	0.46
1032.198608	260	0.58
1033.254761	297	0.66
1034.343140	334	0.74
1036.452271	263	0.59
1038.045410	95	0.21
1038.787720	17	0.04
1040.065918	498	1.11
1041.029419	45	0.10
1041.374023	90	0.20
1043.263916	63	0.14
1045.317749	89	0.20
1046.374878	64	0.14
1046.965454	239	0.53
1048.439453	132	0.29
1049.741699	330	0.73
1051.703979	67	0.15
1053.476196	396	0.88
1054.376953	26	0.06
1055.465698	67	0.15
1056.838989	71	0.16
1057.844604	67	0.15
1058.331543	24	0.05
1060.057129	120	0.27
1063.284546	349	0.78
1064.379517	206	0.46
1064.894165	43	0.10
1065.606445	294	0.65
1066.873169	112	0.25
1068.600830	98	0.22
1070.248901	74	0.16
1071.590698	22	0.05
1072.224731	17	0.04
1073.349121	82	0.18
1074.232300	73	0.16
1074.593262	61	0.13
1075.008301	157	0.35
1075.505127	33	0.07
1077.157837	18	0.04
1077.629150	126	0.28
1078.739014	33	0.07
1079.974121	89	0.20
1081.201416	123	0.27
1084.061035	62	0.14
1084.507568	36	0.08
1085.290283	39	0.09
1085.671387	67	0.15
1086.625000	58	0.13
1087.061523	19	0.04
1087.431396	33	0.07
1088.514038	136	0.30
1089.883057	122	0.27
1090.379395	100	0.22
1090.731812	93	0.21
1091.630981	34	0.08
1092.266724	151	0.34
1093.672119	2	0.00
1096.019043	267	0.59
1096.599487	89	0.20
1097.819336	67	0.15
1098.358765	35	0.08
1099.334717	67	0.15
1099.921875	34	0.08
1100.479004	62	0.14
1101.524048	67	0.15
1102.024658	76	0.17
1102.820557	65	0.14
1103.245850	65	0.14
1105.963623	35	0.08
1107.161621	33	0.07
1108.377930	119	0.26
1109.072021	176	0.39
1111.313110	62	0.14
1112.307495	88	0.20
1115.202759	35	0.08
1116.253540	136	0.30
1116.710205	34	0.08
1117.891113	69	0.15
1121.328247	34	0.08
1122.453979	102	0.23
1124.797241	101	0.22
1125.647461	45	0.10
1126.042603	30	0.07
1126.657593	281	0.62
1128.094238	149	0.33
1128.681274	498	1.11
1129.522949	100	0.22
1130.139038	614	1.37
1131.280273	667	1.48
1131.895264	177	0.39
1132.329956	219	0.49
1132.830688	276	0.61
1133.310425	122	0.27
1134.282959	958	2.13
1134.996216	346	0.77
1135.395386	182	0.40
1136.066406	359	0.80
1137.084717	548	1.22
1140.375977	508	1.13
1140.917480	66	0.15
1141.520996	37	0.08
1142.602783	386	0.86
1144.754272	510	1.13
1146.769165	338	0.75
1147.377686	197	0.44
1147.890747	106	0.24
1150.012695	237	0.53
1152.431030	13	0.03
1152.834717	95	0.21
1154.520508	33	0.07
1156.108887	133	0.30
1162.864136	33	0.07
1165.111084	9	0.02
1165.510010	65	0.14
1166.775391	36	0.08
1167.254883	33	0.07
1169.074585	34	0.08
1169.771729	218	0.49
1170.557617	186	0.41
1170.931030	35	0.08
1171.265625	32	0.07
1172.712158	185	0.41
1173.611084	209	0.46
1175.001587	60	0.13
1175.329712	46	0.10
1176.056763	35	0.08
1176.621216	60	0.13
1177.100098	50	0.11
1177.968506	67	0.15
1178.618774	23	0.05
1180.719604	22	0.05
1181.102539	74	0.16
1183.035156	34	0.08
1184.069458	34	0.08
1186.861572	106	0.24
1187.567871	33	0.07
1191.080566	34	0.08
1194.409302	1	0.00
1198.229614	34	0.08
1198.652222	49	0.11
1200.545288	4	0.01
1210.094604	34	0.08
1210.709473	50	0.11
1212.997314	63	0.14
1213.488159	142	0.32
1214.205566	97	0.22
1215.544800	155	0.34
1215.936157	25	0.06
1216.359741	63	0.14
1216.992065	72	0.16
1217.512939	62	0.14
1218.213013	46	0.10
1219.612183	35	0.08
1219.927490	33	0.07
1221.604858	23	0.05
1222.049072	34	0.08
1222.620850	34	0.08
1223.564209	62	0.14
1224.201904	18	0.04
1225.510132	34	0.08
1225.844116	3	0.01
1227.249756	2	0.00
1228.181885	35	0.08
1229.382935	62	0.14
1231.181152	60	0.13
1231.505615	33	0.07
1233.416016	116	0.26
1234.652588	66	0.15
1236.608398	34	0.08
1237.062012	34	0.08
1242.194336	360	0.80
1243.400635	17	0.04
1243.819092	33	0.07
1244.251709	22	0.05
1244.807983	35	0.08
1245.215576	25	0.06
1245.748657	22	0.05
1250.218506	60	0.13
1254.765625	41	0.09
1255.766479	16	0.04
1256.105103	68	0.15
1257.274292	128	0.28
1258.616333	234	0.52
1259.957153	99	0.22
1261.066040	74	0.16
1261.504028	55	0.12
1262.027100	90	0.20
1263.597778	99	0.22
1264.776367	110	0.25
1265.554810	119	0.26
1265.941406	34	0.08
1267.388794	45	0.10
1267.879883	33	0.07
1270.790527	34	0.08
1275.349121	33	0.07
1277.492065	23	0.05
1281.010376	35	0.08
1283.205444	59	0.13
1288.177246	15	0.03
1297.477417	130	0.29
1297.956543	33	0.07
1298.276245	32	0.07
1301.106445	21	0.05
1303.539673	37	0.08
1304.091919	102	0.23
1305.308228	66	0.15
1305.864624	106	0.24
1306.411621	33	0.07
1307.614258	33	0.07
1308.674194	70	0.16
1309.039795	15	0.03
1309.925293	34	0.08
1312.108887	34	0.08
1314.171387	34	0.08
1316.536865	1	0.00
1317.223633	33	0.07
1325.020386	49	0.11
1325.489258	33	0.07
1327.865356	122	0.27
1329.074219	16	0.04
1329.475098	66	0.15
1330.036133	33	0.07
1335.685913	18	0.04
1339.051758	33	0.07
1341.740723	37	0.08
1345.340454	76	0.17
1345.993774	89	0.20
1346.964966	41	0.09
1347.249512	33	0.07
1347.537109	33	0.07
1348.395996	9	0.02
1348.817383	33	0.07
1350.082031	34	0.08
1351.277222	35	0.08
1351.848633	33	0.07
1366.598389	17	0.04
1368.711304	63	0.14
1369.161133	33	0.07
1370.666382	34	0.08
1373.153931	49	0.11
1374.843628	15	0.03
1378.765137	17	0.04
1382.727051	23	0.05
1383.067505	33	0.07
1386.124512	34	0.08
1388.165161	67	0.15
1388.965820	59	0.13
1389.476196	34	0.08
1390.223633	12	0.03
1392.312012	17	0.04
1395.532471	62	0.14
1398.421387	13	0.03
1400.289063	44	0.10
1401.452637	17	0.04
1404.192383	33	0.07
1411.603394	48	0.11
1414.323242	15	0.03
1414.614746	33	0.07
1417.452637	34	0.08
1418.609375	34	0.08
1419.589966	10	0.02
1420.292358	59	0.13
1421.211060	39	0.09
1425.498657	52	0.12
1425.852783	34	0.08
1426.352295	45	0.10
1426.824829	66	0.15
1427.843262	34	0.08
1428.935791	28	0.06
1429.232910	35	0.08
1429.676758	33	0.07
1435.054443	69	0.15
1436.452637	34	0.08
1437.702637	34	0.08
1439.192383	33	0.07
1441.132813	50	0.11
1445.608887	16	0.04
1447.066772	35	0.08
1448.493530	220	0.49
1450.210571	66	0.15
1451.265137	34	0.08
1452.562012	16	0.04
1453.788696	7	0.01
1459.655762	16	0.04
1463.685059	17	0.04
1464.301758	15	0.03
1466.655762	13	0.03
1469.366821	32	0.07
1472.952637	13	0.03
1479.999512	13	0.03
1484.303345	67	0.15
1484.933716	62	0.14
1486.015137	34	0.08
1493.379150	35	0.08
1493.786133	33	0.07
1499.421387	13	0.03
1503.296387	34	0.08
1505.307251	35	0.08
1505.848999	33	0.07
1506.630371	35	0.08
1507.047363	32	0.07
1507.338745	34	0.08
1507.664063	34	0.08
1507.984131	34	0.08
1508.489258	33	0.07
1512.202637	16	0.04
1516.577637	34	0.08
1518.671387	15	0.03
1525.312012	34	0.08
1555.624512	34	0.08
1560.796387	34	0.08
1570.437012	34	0.08
1576.927002	14	0.03
1577.301636	33	0.07
1578.546387	34	0.08
1588.030762	34	0.08
1592.280762	34	0.08
1604.499512	17	0.04
1612.093262	34	0.08
1615.582886	17	0.04
1615.911133	33	0.07
1618.093262	16	0.04
1629.780762	34	0.08
1633.525146	36	0.08
1633.989258	33	0.07
1644.671387	34	0.08
1656.952637	34	0.08
1661.874512	34	0.08
1668.108887	34	0.08
1680.796387	34	0.08
1810.405762	34	0.08
1820.796387	34	0.08
1837.624512	34	0.08
1860.733887	34	0.08
1926.921387	34	0.08
1946.187012	34	0.08
1956.530762	34	0.08
