Label,Parent,Cyto,Background,Nuclei
1,13,139.62282761155407,2.935935021162228,215.7014327753389
2,1,155.740931658243,2.935935021162228,246.8745684967135
3,1,156.19098408009597,2.935935021162228,225.03233401349866
4,1,156.95111195688435,2.935935021162228,200.5051901387364
5,1,156.47471055130399,2.935935021162228,219.59790706793453
6,18,128.86407453222338,2.935935021162228,220.07953029863728
7,21,101.04511278195488,2.935935021162228,231.05893681309558
8,2,112.75771083102777,2.935935021162228,206.78364010365186
9,1,156.10519867687285,2.935935021162228,250.01799725811628
10,1,156.1341797248121,2.935935021162228,279.33074171979473
11,1,157.06989637014937,2.935935021162228,205.21335586431343
12,22,166.04533955784765,2.935935021162228,229.46060995643168
13,22,168.73348265633513,2.935935021162228,209.22663242275664
14,1,157.09423174851668,2.935935021162228,218.4712205128205
15,1,156.5860922229484,2.935935021162228,243.3561773600029
16,17,137.62399619039374,2.935935021162228,213.59796415521143
17,1,156.99048878931865,2.935935021162228,221.6115842614359
18,30,144.5248774737887,2.935935021162228,197.69403754899938
19,1,156.9923740802389,2.935935021162228,235.10520420070011
20,15,89.4360599349762,2.935935021162228,181.4236496350365
