Label,Parent,Cyto,Background,Nuclei
1,3,143.2293108932321,4.182185215619404,192.6805031446541
2,3,143.0611926881959,4.182185215619404,182.52417302798983
3,2,175.91595585842404,4.182185215619404,217.4491851066649
4,24,119.35255222454114,4.182185215619404,172.0657406526496
5,15,131.28933687887945,4.182185215619404,202.9031527008807
6,2,175.5617010761525,4.182185215619404,228.1293421663774
7,15,131.61682963989256,4.182185215619404,192.9268150855624
8,3,141.95635782217516,4.182185215619404,197.81065297760614
9,3,141.9855819491136,4.182185215619404,196.73984084381033
10,2,175.63249402612902,4.182185215619404,244.21482547679022
11,3,141.92542471508253,4.182185215619404,210.5033283290372
12,15,131.56931833696402,4.182185215619404,197.6139698345292
13,3,142.11195139139375,4.182185215619404,219.89572887311056
14,15,131.1841468287742,4.182185215619404,208.47151435485316
15,8,127.12578281145903,4.182185215619404,211.67671868409954
16,3,142.21594196840545,4.182185215619404,206.7331336799842
17,2,176.7884081929043,4.182185215619404,212.4288978730884
18,3,142.2426661781202,4.182185215619404,206.68030638984075
19,2,176.40218843307537,4.182185215619404,228.25987847162622
20,3,142.41655354335614,4.182185215619404,199.36418169209432
21,1,119.71994198694706,4.182185215619404,202.10504400812457
22,15,131.90896872076644,4.182185215619404,211.02761762689997
23,3,142.15605455268724,4.182185215619404,248.75106316772118
24,3,142.4467502428406,4.182185215619404,195.85653513767
25,15,131.2328589504881,4.182185215619404,214.90787743293004
26,1,125.83723568176913,4.182185215619404,193.49939268796308
27,3,143.22666094230857,4.182185215619404,160.9858134920635
28,3,142.93843392729153,4.182185215619404,181.06793300271357
29,10,128.31074885890555,4.182185215619404,202.95330357142856
30,3,142.23160442076593,4.182185215619404,213.60547955308087
31,15,134.24193371927643,4.182185215619404,115.83193277310924
