Label,Parent,Cyto,Background,Nuclei
1,1,141.87313403151475,1.950580347767923,205.73285413943975
2,1,142.17959691589164,1.950580347767923,208.79736548034268
3,12,142.8065482422284,1.950580347767923,203.34567649532352
4,1,142.81655423376782,1.950580347767923,189.4515933436637
5,1,141.58371470068371,1.950580347767923,205.50573689164779
6,8,131.99442184065447,1.950580347767923,199.57727595512
7,1,142.4897691341991,1.950580347767923,186.6748031496063
8,7,123.08073448450493,1.950580347767923,192.98073485600796
9,12,141.76766134048856,1.950580347767923,235.261932938856
10,12,143.79048240843738,1.950580347767923,195.78249482275552
11,1,141.92053740133701,1.950580347767923,200.51428723319424
12,30,91.08512196353719,1.950580347767923,180.89832828937887
13,8,132.63254743992647,1.950580347767923,192.7315126795531
14,8,132.33250032625568,1.950580347767923,209.11086637298092
15,8,133.34803090703284,1.950580347767923,181.7080345597743
16,12,144.78487308180016,1.950580347767923,194.62655782050044
17,20,153.438524795041,1.950580347767923,205.290316955138
18,10,6.44392523364486,1.950580347767923,190.58235393353203
19,8,135.84239284383153,1.950580347767923,190.1904497501388
20,0,1.9124019004947634,1.950580347767923,163.69203222918532
