Label,Parent,Cyto,Background,Nuclei
1,15,5.532754602593424,1.3105802528590778,7.594816138917262
2,11,4.57148907207139,1.3105802528590778,9.306955228812159
3,5,15.804068827351957,1.3105802528590778,21.9118050584586
4,2,9.59063738176488,1.3105802528590778,17.78948262473306
5,15,5.138136290638308,1.3105802528590778,12.721337729627885
6,12,8.080554084697189,1.3105802528590778,13.592161016949152
7,11,5.177596196701828,1.3105802528590778,6.08651819264962
8,5,17.196846473029044,1.3105802528590778,13.504383308361758
9,11,5.304381176410427,1.3105802528590778,9.997176783193556
10,15,5.650338575941909,1.3105802528590778,6.756184578102387
11,18,245.3181818181818,1.3105802528590778,4.599088610963278
12,2,9.599529771933883,1.3105802528590778,21.855263157894736
13,3,4.610431327796445,1.3105802528590778,21.826713969775156
14,9,4.072710628207822,1.3105802528590778,11.756466230072105
15,5,16.60189198273422,1.3105802528590778,21.77731504164625
