Label,Parent,Cyto,Background,Nuclei
1,21,90.03192311746723,2.6972494862797656,191.98754770034142
2,16,145.25602264176374,2.6972494862797656,217.28223649010167
3,23,120.48615598707572,2.6972494862797656,196.63920146151605
4,6,136.15144998771197,2.6972494862797656,207.47416320885202
5,1,159.94356189588981,2.6972494862797656,217.0084903157336
6,23,120.25991032324504,2.6972494862797656,197.10162495428185
7,1,159.25993667932687,2.6972494862797656,213.17935596326174
8,7,169.10523122264118,2.6972494862797656,247.38092171833318
9,6,137.01957067441543,2.6972494862797656,205.60484628199302
10,17,113.83774852796043,2.6972494862797656,186.98050730975885
11,4,157.97179700693403,2.6972494862797656,208.3597855227882
12,2,109.84483401715778,2.6972494862797656,193.09087811360615
13,17,117.35474106320898,2.6972494862797656,196.65688566170985
14,1,163.21149986392706,2.6972494862797656,192.56771599490045
15,6,137.20508458557794,2.6972494862797656,202.48474405062538
16,2,116.97311142632599,2.6972494862797656,168.16522216796875
17,4,164.13623140989623,2.6972494862797656,195.2537366729582
