Label,Parent,Cyto,Background,Nuclei
1,1,135.24104613997056,2.4928268318871405,208.78770768732355
2,1,135.2619265298436,2.4928268318871405,214.4683708508203
3,1,134.92973524661681,2.4928268318871405,242.55877072002914
4,1,135.1990717282341,2.4928268318871405,214.99522292993632
5,1,135.27177648820728,2.4928268318871405,211.20055154753405
6,1,135.53468009886697,2.4928268318871405,209.74609336769646
7,1,135.35919929008736,2.4928268318871405,215.17532964695874
8,1,135.52189905795828,2.4928268318871405,215.5456463102566
9,1,135.44275775738527,2.4928268318871405,231.10143247185547
10,1,135.49716783548345,2.4928268318871405,217.64374334123792
11,1,135.46841875646592,2.4928268318871405,251.67982558957289
12,1,135.35522182711935,2.4928268318871405,217.9205292210637
13,1,135.59610012668068,2.4928268318871405,200.56907454132013
14,1,136.0149950580798,2.4928268318871405,207.45509143062029
15,1,135.53871724818484,2.4928268318871405,214.81480832574113
16,1,135.62084243099605,2.4928268318871405,208.8393325561061
17,1,135.88331043423685,2.4928268318871405,198.6619666823333
18,1,135.65197378734734,2.4928268318871405,225.5283399859122
19,1,136.16323350797614,2.4928268318871405,195.59327057182705
20,1,136.31074837480045,2.4928268318871405,114.98206531999244
