Label,Parent,Cyto,Background,Nuclei
1,3,61.12537508501927,0.2623951459390269,137.10981189628876
2,12,55.23808106357724,0.2623951459390269,88.06372189817392
3,11,35.68025746310065,0.2623951459390269,106.38228026826685
4,10,40.3665782771717,0.2623951459390269,101.61871550564265
5,3,42.32332814804665,0.2623951459390269,147.91929512809122
6,6,35.854514484383934,0.2623951459390269,136.58689919394965
7,10,39.74408092764778,0.2623951459390269,104.98833596495696
8,5,0.0,0.2623951459390269,41.74831133283299
9,12,52.00023723332565,0.2623951459390269,184.45943718356293
10,1,23.36906148470545,0.2623951459390269,76.99854261989493
11,10,40.67573091726232,0.2623951459390269,109.59561055335045
12,12,53.257063698432695,0.2623951459390269,164.1925531610429
13,12,54.5884882171964,0.2623951459390269,101.52952774169604
14,12,55.3437545042359,0.2623951459390269,94.92566825338704
15,12,55.13620315932706,0.2623951459390269,100.06231527970658
16,6,44.00595818597342,0.2623951459390269,107.47555451421431
17,12,55.222140657490876,0.2623951459390269,128.99586590013564
18,4,16.335748554557757,0.2623951459390269,48.57819729779752
19,12,56.109534061324275,0.2623951459390269,10.83716381418093
20,12,55.10499241373803,0.2623951459390269,149.28055996536295
21,12,54.62257982228336,0.2623951459390269,139.7524014645703
22,12,55.95349758491686,0.2623951459390269,97.59866220735786
