365	10197.83806	365	400
367	15250.87693	367	600
369	17062.67349	369	670
371	11201.05901	371	440
373	12205.97584	373	480
375	11456.21181	375	450
377	13735.21557	377	540
379	14774.43513	379	580
381	13494.58943	381	530
383	11687.58575	383	460
385	14494.22774	385	570
387	15776.88432	387	620
389	10921.18965	389	430
391	11954.72466	391	470
393	10922.85417	393	430
395	12920.87862	395	510
397	15974.44089	397	630
399	14180.44618	399	560
401	14480.60361	401	570
403	16736.40167	403	660
405	11445.43073	405	450
407	13680.5837	407	540
409	13475.71828	409	530
411	11673.64548	411	460
413	14505.29316	413	570
415	11902.65151	415	470
417	12708.09506	417	500
419	13227.51323	419	520
421	10910.1058	421	430
423	13229.53239	423	520
425	13973.93226	425	550
427	15252.42768	427	600
429	14991.74184	429	590
431	14980.32246	431	590
433	14490.9114	433	570
435	13469.21142	435	530
437	13464.07885	437	530
439	11426.2499	439	450
441	16783.64358	441	660
443	13984.23595	443	550
445	14233.06646	445	560
447	14734.64929	447	580
449	9404.70744	449	370
451	14978.80119	451	590
453	14202.38397	453	560
455	12183.35956	455	480
457	16047.27578	457	630
459	11408.29002	459	450
461	9665.03039	461	380
463	12721.99888	463	500
465	14746.26259	465	580
467	13979.61518	467	550
469	15730.45111	469	620
471	20784.22427	471	820
473	17791.78528	473	700
475	20858.77086	475	820
477	29388.6651	477	1160
479	32502.98367	479	1280
481	47693.94693	481	1880
483	58845.90996	483	2320
485	86724.99049	485	3420
487	151195.58865	487	5950
489	370737.15751	489	14600
491	285750.5715	491	11250
493	435180.47789	493	17120
495	631297.70992	495	24810
497	824186.99187	497	32440
499	1.10705E6	499	43650
501	1.42647E6	501	56130
503	1.80772E6	503	71130
505	2.17242E6	505	85650
507	2.515E6	507	98930
509	2.8456E6	509	111960
511	3.11585E6	511	122640
513	3.30436E6	513	130000
515	3.35174E6	515	131700
517	3.38481E6	517	133270
519	3.36011E6	519	132170
521	3.2266E6	521	127070
523	3.02946E6	523	119170
525	2.81474E6	525	110670
527	2.64798E6	527	104190
529	2.40867E6	529	94810
531	2.25192E6	531	88460
533	2.0437E6	533	80340
535	1.84833E6	535	72680
537	1.67694E6	537	65830
539	1.52969E6	539	60100
541	1.40969E6	541	55470
543	1.31796E6	543	51830
545	1.18053E6	545	46350
547	1.11501E6	547	43850
549	1.01245E6	549	39760
551	988726.38635	551	38940
553	917176.35066	553	35990
555	862664.43192	555	33970
557	797535.07677	557	31320
559	723228.11651	559	28480
561	663873.01587	561	26140
563	637200.08133	563	25070
565	576820.5024	565	22710
567	541824.37067	567	21330
569	498678.99604	569	19630
571	448022.75671	571	17640
573	408168.44886	573	16070
575	348464.8231	575	13710
577	328972.43744	577	12950
579	306259.6737	579	12070
581	287296.46658	581	11310
583	257074.63293	583	10120
585	229920.13836	585	9040
587	213214.20413	587	8400
589	187022.90076	589	7350
591	174585.80409	591	6860
593	162820.8716	593	6400
595	149268.93882	595	5860
597	138768.65102	597	5450
599	123107.50879	599	4830
601	127004.3268	601	4990
603	98757.89045	603	3880
605	105755.542	605	4160
607	92203.4589	607	3620
609	79784.53095	609	3140
611	71714.77426	611	2810
613	73206.07	613	2880
615	66644.62137	615	2620
617	65111.78371	617	2560
619	61574.47458	619	2420
621	54239.87777	621	2130
623	50434.29532	623	1980
625	50510.20408	625	1980
627	45304.14864	627	1780
629	47946.95231	629	1880
631	42190.87559	631	1660
633	40311.26419	633	1580
635	35236.26039	635	1390
637	31072.51102	637	1220
639	31202.43531	639	1230
641	33086.45746	641	1300
643	27975.58494	643	1100
645	29037.92761	645	1140
647	28472.64592	647	1120
649	26649.74619	649	1050
651	24661.22594	651	970
653	24369.8119	653	960
655	24185.33605	655	950
657	19024.90995	657	750
659	18288.5011	659	720
661	21589.49481	661	850
663	21591.14001	663	850
665	19309.92428	665	760
667	15242.35342	667	600
669	20836.50963	669	820
671	17531.37863	671	690
673	19036.98251	673	750
675	18834.78836	675	740
677	20294.7817	677	800
679	16746.59359	679	660
681	11435.25107	681	450
683	14964.36452	683	590
685	14223.3059	685	560
687	16239.53311	687	640
689	16008.13111	689	630
691	17758.38449	691	700
693	14464.80231	693	570
695	17019.76325	695	670
697	14221.86103	697	560
699	13973.22223	699	550
701	14220.41646	701	560
703	13449.72847	703	530
705	16780.65648	705	660
707	12687.45718	707	500
709	14489.80629	709	570
711	14725.67091	711	580
713	17252.31511	713	680
715	12655.98502	715	500
717	18757.92142	717	740
719	15006.99479	719	590
721	14237.77077	721	560
723	17544.30573	723	690
725	15225.33496	725	600
727	13183.24714	727	520
729	13966.48045	729	550
731	12701.63851	731	500
733	12954.68401	733	510
735	13690.9893	735	540
737	15244.28974	737	600
739	13219.44275	739	520
741	16240.35729	741	640
743	12437.81095	743	490
745	14719.31784	745	580
747	17290.48007	747	680
749	12692.61036	749	500
751	16505.84053	751	650
753	13458.60843	753	530
755	12442.23249	755	490
757	11452.71302	757	450
759	13698.63014	759	540
761	11931.65952	761	470
763	12960.93929	763	510
765	11156.18661	765	440
767	10668.02134	767	420
769	15734.0439	769	620
771	13244.02109	771	520
773	17008.09789	773	670
775	11168.0796	775	440
777	13725.44036	777	540
779	13995.97934	779	550
781	14746.26259	781	580
783	13989.92725	783	550
785	15007.37651	785	590
787	17277.30068	787	680
789	11700.96406	789	460
791	14747.76241	791	580
793	12963.24539	793	510
795	15987.41308	795	630
797	13480.17397	797	530
799	13198.63952	799	520
801	14503.44775	801	570
